operator_count,score,generation
1.0,0.53875,0
2.0,0.6449999999999999,0
2.0,0.51125,0
1.0,0.5687499999999999,0
1.0,0.65375,0
2.0,0.50625,0
1.0,0.6300000000000001,0
2.0,0.6112500000000001,0
1.0,0.5450000000000002,0
2.0,0.5237499999999999,0
1.0,0.5425,0
2.0,0.6175,0
1.0,0.5337500000000002,0
2.0,0.6587500000000001,0
1.0,0.52625,0
2.0,0.59875,0
1.0,0.5875,0
1.0,0.515,0
2.0,0.53875,0
1.0,0.5125,0
2.0,0.495,0
2.0,0.5,0
1.0,0.6387499999999999,0
1.0,0.5824999999999999,0
2.0,0.50625,0
2.0,0.5,0
2.0,0.49749999999999994,0
1.0,0.52625,0
2.0,0.5337500000000001,0
2.0,0.5412499999999999,0
2.0,0.6100000000000001,0
2.0,0.71,0
1.0,0.5875,0
1.0,0.54125,0
1.0,0.55375,0
1.0,0.51,0
1.0,0.535,0
2.0,0.62,0
2.0,0.6287499999999999,0
1.0,0.6075,0
3.0,0.5412499999999999,1
2.0,0.5375,1
2.0,0.54125,1
1.0,0.635,1
2.0,0.5137499999999999,1
3.0,0.5537500000000001,1
3.0,0.61375,1
2.0,0.515,1
1.0,0.53,1
3.0,0.50125,1
1.0,0.6174999999999999,1
3.0,0.6787500000000002,1
2.0,0.5262499999999999,1
1.0,0.5725,1
1.0,0.55875,1
3.0,0.5449999999999999,1
2.0,0.5075000000000001,1
2.0,0.77375,1
3.0,0.6125,1
1.0,0.6125,1
2.0,0.5762500000000002,1
2.0,0.5725,1
1.0,0.635,1
2.0,0.63125,1
2.0,0.5075000000000001,1
2.0,0.7175,1
1.0,0.52625,1
1.0,0.5225,1
2.0,0.5450000000000002,1
1.0,0.65125,1
1.0,0.5762499999999999,1
2.0,0.5112500000000001,1
2.0,0.515,1
1.0,0.58375,1
1.0,0.5225000000000001,1
2.0,0.54125,1
1.0,0.63625,1
2.0,0.50625,1
3.0,0.5,1
1.0,0.48,1
2.0,0.55125,2
2.0,0.7849999999999999,2
2.0,0.77375,2
2.0,0.5525,2
3.0,0.7787499999999999,2
2.0,0.77375,2
3.0,0.775,2
2.0,0.7024999999999999,2
3.0,0.6675000000000001,2
2.0,0.5587500000000001,2
3.0,0.77375,2
2.0,0.5862499999999999,2
