,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,29,51,72,89,110,138,165,202,220,239,262,295,315,336,350,368,388,400,423,437
global_efficiency,0.7321428571428571,0.6266666666666666,0.5657276995305167,0.5435606060606064,0.5191131498470953,0.48965936739659405,0.4707317073170731,0.4451077943615254,0.4375951293759508,0.43277310924369683,0.4284802043422725,0.41978458049886525,0.41385350318471253,0.40905472636815876,0.4074498567335242,0.4034514078110808,0.39732988802756264,0.39444444444444476,0.3895734597156403,0.38700305810397617
exploratory_metric,20.5,31.33333333333333,40.166666666666686,47.833333333333364,56.583333333333385,67.08333333333339,77.19999999999999,89.46666666666661,95.83333333333323,102.99999999999984,111.83333333333313,123.41666666666639,129.94999999999973,137.0333333333332,142.19999999999993,148.06666666666666,153.76666666666674,157.38333333333347,164.4000000000002,168.7333333333336
leafnode_counter,18,35,46,58,71,87,101,121,133,145,163,182,194,206,215,226,239,248,262,270
unique_nodes_by_depth,[ 1 12 17  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 34  4  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 45 14  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 57 19  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 68 28  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 77 43  5  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 86 57  8  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 95 70 18  4  2  0  0  0  0  0  0  0  0  0],[ 1 13 99 81 20  5  2  0  0  0  0  0  0  0  0  0],[  1  13 105  92  22   5   2   0   0   0   0   0   0   0   0   0],[  1  13 114 102  26   5   2   0   0   0   0   0   0   0   0   0],[  1  13 122 118  35   5   2   0   0   0   0   0   0   0   0   0],[  1  13 124 131  39   6   2   0   0   0   0   0   0   0   0   0],[  1  13 127 144  44   6   2   0   0   0   0   0   0   0   0   0],[  1  13 131 152  46   6   2   0   0   0   0   0   0   0   0   0],[  1  13 134 160  52   7   2   0   0   0   0   0   0   0   0   0],[  1  13 134 169  62   8   2   0   0   0   0   0   0   0   0   0],[  1  13 134 177  65   9   2   0   0   0   0   0   0   0   0   0],[  1  13 136 188  72  12   2   0   0   0   0   0   0   0   0   0],[  1  13 137 195  78  12   2   0   0   0   0   0   0   0   0   0]
