,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,34,49,65,83,105,128,146,157,179,198,211,223,234,244,263,274,287,310,319,343
global_efficiency,0.696969696969697,0.6249999999999999,0.5807291666666667,0.5487804878048783,0.524839743589744,0.49671916010498746,0.47896551724137965,0.47083333333333344,0.4543071161048686,0.44475465313028717,0.43984126984126926,0.4340840840840834,0.4311158798283254,0.42640603566529406,0.4194656488549609,0.415995115995115,0.41252913752913645,0.40458468176914664,0.4024109014675041,0.3938109161793362
exploratory_metric,23.0,29.999999999999996,37.16666666666667,45.00000000000002,54.58333333333337,63.08333333333341,69.45000000000005,73.45000000000002,80.86666666666662,87.61666666666657,92.36666666666655,96.36666666666652,100.44999999999982,103.61666666666646,109.89999999999975,113.56666666666639,117.98333333333302,125.01666666666631,127.9666666666663,134.683333333333
leafnode_counter,23,34,45,57,74,85,95,104,114,128,136,145,153,158,165,171,178,189,192,202
unique_nodes_by_depth,[ 1 12 22  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 34  3  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 45  8  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 56 15  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 70 22  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 76 37  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 81 45  7  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 84 51  9  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 87 65 14  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 92 74 19  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 96 80 22  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 98 86 26  1  0  0  0  0  0  0  0  0  0  0],[  1  12 101  93  27   1   0   0   0   0   0   0   0   0   0   0],[  1  12 102  98  31   1   0   0   0   0   0   0   0   0   0   0],[  1  12 105 108  36   2   0   0   0   0   0   0   0   0   0   0],[  1  12 107 113  40   2   0   0   0   0   0   0   0   0   0   0],[  1  12 109 121  43   2   0   0   0   0   0   0   0   0   0   0],[  1  12 111 132  51   3   1   0   0   0   0   0   0   0   0   0],[  1  12 113 135  54   4   1   0   0   0   0   0   0   0   0   0],[  1  12 114 143  65   8   1   0   0   0   0   0   0   0   0   0]
