,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,30,50,64,79,91,108,126,151,169,190,199,222,230,236,250,271,282,301,313,335
global_efficiency,0.6896551724137931,0.5986394557823128,0.5621693121693121,0.5448717948717949,0.5244444444444446,0.5119937694704052,0.49493333333333367,0.47300000000000003,0.4634920634920633,0.45299823633156927,0.4471380471380466,0.43235294117647,0.42962154294031957,0.4256737588652476,0.4184069611780448,0.40845679012345604,0.40183867141162444,0.3939444444444437,0.3898504273504266,0.38278443113772376
exploratory_metric,20.0,29.33333333333333,35.416666666666664,42.50000000000001,47.20000000000002,54.78333333333336,61.86666666666671,70.95,77.86666666666663,85.61666666666659,88.53333333333323,95.54999999999987,98.38333333333318,100.03333333333319,104.18333333333317,110.28333333333313,112.91666666666647,118.18333333333311,121.63333333333308,127.84999999999974
leafnode_counter,20,36,45,56,63,74,87,101,112,124,128,140,147,150,155,164,170,180,190,203
unique_nodes_by_depth,[ 1 10 20  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 36  4  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 45  8  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 54 12  2  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 60 15  4  1  0  0  0  0  0  0  0  0  0  0],[ 1 11 72 19  5  1  0  0  0  0  0  0  0  0  0  0],[ 1 11 80 26  8  1  0  0  0  0  0  0  0  0  0  0],[ 1 11 87 39 13  1  0  0  0  0  0  0  0  0  0  0],[ 1 11 94 47 16  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 98 56 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 99 61 26  1  0  0  0  0  0  0  0  0  0  0],[  1  12 102  69  35   4   0   0   0   0   0   0   0   0   0   0],[  1  12 104  73  37   4   0   0   0   0   0   0   0   0   0   0],[  1  12 105  74  38   6   1   0   0   0   0   0   0   0   0   0],[  1  12 106  80  43   8   1   0   0   0   0   0   0   0   0   0],[  1  12 107  90  49  11   2   0   0   0   0   0   0   0   0   0],[  1  12 107  92  53  15   3   0   0   0   0   0   0   0   0   0],[  1  12 107 100  61  18   3   0   0   0   0   0   0   0   0   0],[  1  12 107 107  64  19   4   0   0   0   0   0   0   0   0   0],[  1  12 109 113  73  23   5   0   0   0   0   0   0   0   0   0]
