,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,28,46,64,78,91,109,124,141,159,191,220,243,270,292,312,337,357,384,410,437
global_efficiency,0.7037037037037037,0.6037037037037035,0.5529100529100528,0.5367965367965369,0.5240740740740742,0.50462962962963,0.49186991869918745,0.47619047619047655,0.4551687763713082,0.4269298245614035,0.41171993911719923,0.39820936639118437,0.3848203221809167,0.37565864833906043,0.3717577706323685,0.36565334467120153,0.36203852327447805,0.3554519457913711,0.3499563395040165,0.34032055482743506
exploratory_metric,19.0,27.16666666666666,34.83333333333333,41.33333333333334,47.166666666666686,54.50000000000004,60.50000000000006,66.66666666666671,71.9166666666667,81.11666666666666,90.16666666666663,96.36666666666662,103.5166666666666,109.31666666666659,115.61666666666659,122.85952380952371,128.8857142857142,136.13809523809513,143.13214285714275,148.3797619047617
leafnode_counter,18,31,42,51,60,71,83,91,96,110,126,139,151,162,175,191,199,209,221,232
unique_nodes_by_depth,[ 1 10 18  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 31  5  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 41 13  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 48 19  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 57 23  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 65 33  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 72 39  2  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 78 44  8  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 80 50 13  5  0  0  0  0  0  0  0  0  0  0],[ 1 11 82 62 25 11  0  0  0  0  0  0  0  0  0  0],[ 1 11 87 72 34 15  1  0  0  0  0  0  0  0  0  0],[ 1 11 88 78 44 21  1  0  0  0  0  0  0  0  0  0],[ 1 11 88 88 53 28  2  0  0  0  0  0  0  0  0  0],[ 1 11 89 94 61 32  5  0  0  0  0  0  0  0  0  0],[ 1 11 94 98 67 36  6  0  0  0  0  0  0  0  0  0],[  1  11  97 107  73  39   9   1   0   0   0   0   0   0   0   0],[  1  11 101 112  78  43  10   2   0   0   0   0   0   0   0   0],[  1  11 103 120  86  47  13   4   0   0   0   0   0   0   0   0],[  1  11 105 129  91  52  15   6   1   0   0   0   0   0   0   0],[  1  11 105 130  99  58  18  11   5   0   0   0   0   0   0   0]
