,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,24,48,63,80,98,111,143,174,203,227,253,271,285,311,342,368,398,421,442,466
global_efficiency,0.7608695652173914,0.5992907801418438,0.5618279569892471,0.5316455696202531,0.5128865979381445,0.49924242424242454,0.4741784037558687,0.4543352601156068,0.43679867986798654,0.4257374631268433,0.4137566137566133,0.40432098765432045,0.3996478873239431,0.39494623655913913,0.38528836754643153,0.37938237965485894,0.37321578505457603,0.3694047619047621,0.3667044595616028,0.361003584229391
exploratory_metric,17.5,28.166666666666657,34.83333333333332,42.0,49.750000000000014,54.9166666666667,67.33333333333336,78.59999999999998,88.23333333333328,96.21666666666658,104.26666666666655,109.16666666666653,113.49999999999983,122.43333333333312,131.38333333333316,139.23333333333323,148.16666666666669,155.1500000000001,161.71666666666684,167.86666666666682
leafnode_counter,16,30,41,54,67,77,95,113,129,142,153,162,168,179,193,206,224,238,249,263
unique_nodes_by_depth,[ 1 11 13  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 29  8  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 39 13  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 49 18  2  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 60 24  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 65 32  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 78 46  8  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 86 57 16  3  0  0  0  0  0  0  0  0  0  0],[ 1 12 93 67 24  7  0  0  0  0  0  0  0  0  0  0],[ 1 12 99 75 31  9  1  0  0  0  0  0  0  0  0  0],[  1  12 103  84  40  13   1   0   0   0   0   0   0   0   0   0],[  1  12 103  91  48  15   2   0   0   0   0   0   0   0   0   0],[  1  12 104  98  54  15   2   0   0   0   0   0   0   0   0   0],[  1  12 111 108  60  18   2   0   0   0   0   0   0   0   0   0],[  1  12 114 119  69  24   4   0   0   0   0   0   0   0   0   0],[  1  12 116 131  78  27   4   0   0   0   0   0   0   0   0   0],[  1  12 117 147  88  30   4   0   0   0   0   0   0   0   0   0],[  1  12 119 157  97  32   4   0   0   0   0   0   0   0   0   0],[  1  12 121 168 103  34   4   0   0   0   0   0   0   0   0   0],[  1  12 121 174 114  41   4   0   0   0   0   0   0   0   0   0]
