,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,29,48,70,91,114,142,167,188,205,230,255,269,285,315,334,352,381,419,452,481
global_efficiency,0.7142857142857143,0.602836879432624,0.5603864734299516,0.5342592592592594,0.5147492625368735,0.485697399527187,0.46566265060240963,0.45499108734402827,0.45277777777777745,0.44264919941775777,0.43379265091863445,0.4263681592039793,0.41889671361502256,0.40753715498938337,0.40225225225225153,0.4001899335232662,0.391008771929824,0.37898724082934554,0.3686833491711533,0.3620535714285707
exploratory_metric,20.0,28.333333333333325,38.666666666666664,48.08333333333335,58.1666666666667,68.48333333333336,77.3,85.08333333333329,92.3666666666666,101.36666666666653,110.18333333333315,114.26666666666645,118.96666666666641,127.96666666666637,133.94999999999976,140.46666666666644,148.58333333333312,158.41666666666643,166.27619047619015,173.78571428571394
leafnode_counter,21,32,48,62,79,93,105,117,129,142,158,167,175,189,199,210,224,240,248,259
unique_nodes_by_depth,[ 1 11 18  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 30  7  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 48 11  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 59 19  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 74 26  2  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 84 37  7  2  0  0  0  0  0  0  0  0  0  0],[ 1 12 92 46 12  4  1  0  0  0  0  0  0  0  0  0],[ 1 12 99 56 15  5  1  0  0  0  0  0  0  0  0  0],[  1  12 110  60  16   6   1   0   0   0   0   0   0   0   0   0],[  1  12 116  75  20   6   1   0   0   0   0   0   0   0   0   0],[  1  12 123  87  23   8   2   0   0   0   0   0   0   0   0   0],[  1  12 123  94  30   8   2   0   0   0   0   0   0   0   0   0],[  1  12 123 103  36   9   2   0   0   0   0   0   0   0   0   0],[  1  12 126 115  46  14   2   0   0   0   0   0   0   0   0   0],[  1  12 128 125  51  16   2   0   0   0   0   0   0   0   0   0],[  1  13 132 130  56  19   2   0   0   0   0   0   0   0   0   0],[  1  13 134 139  67  25   3   0   0   0   0   0   0   0   0   0],[  1  13 134 152  79  35   6   0   0   0   0   0   0   0   0   0],[  1  13 134 159  90  44  11   1   0   0   0   0   0   0   0   0],[  1  13 135 166 102  50  13   2   0   0   0   0   0   0   0   0]
