,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,29,43,61,81,95,117,131,152,172,190,199,221,239,262,287,302,322,344,375,385
global_efficiency,0.7142857142857143,0.6349206349206349,0.5777777777777777,0.5416666666666669,0.5248226950354613,0.5014367816091959,0.48397435897435953,0.46876379690949266,0.4612085769980508,0.4512345679012345,0.44755892255892243,0.43856060606060576,0.42997198879551785,0.41455938697317973,0.4033799533799531,0.39734219269102955,0.3926272066458979,0.3863945578231289,0.3755793226381458,0.3733506944444441
exploratory_metric,20.0,26.666666666666664,34.666666666666664,43.33333333333335,49.333333333333364,58.16666666666673,62.91666666666674,70.78333333333339,78.86666666666669,85.28333333333332,88.61666666666665,96.48333333333326,102.33333333333324,108.19999999999992,115.36666666666657,119.5999999999999,126.03333333333322,132.53333333333322,140.46666666666653,143.36666666666653
leafnode_counter,20,30,42,57,66,80,87,102,112,123,130,142,153,164,174,185,199,207,219,226
unique_nodes_by_depth,[ 1 11 18  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 30  2  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 42  8  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 54 16  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 62 22  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 71 35  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 74 41  5  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 82 49  9  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 89 56 14  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 94 64 19  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 98 65 23  1  0  0  0  0  0  0  0  0  0  0],[  1  12 104  76  27   2   0   0   0   0   0   0   0   0   0   0],[  1  12 108  82  32   5   0   0   0   0   0   0   0   0   0   0],[  1  12 109  87  40  11   3   0   0   0   0   0   0   0   0   0],[  1  12 112  95  46  16   6   0   0   0   0   0   0   0   0   0],[  1  12 113 100  52  18   7   0   0   0   0   0   0   0   0   0],[  1  13 115 106  58  21   9   0   0   0   0   0   0   0   0   0],[  1  13 118 112  66  26   9   0   0   0   0   0   0   0   0   0],[  1  13 118 121  78  34  11   0   0   0   0   0   0   0   0   0],[  1  13 119 124  82  36  11   0   0   0   0   0   0   0   0   0]
