,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,27,41,63,86,118,144,174,194,231,256,279,302,318,333,347,366,380,402,424,447
global_efficiency,0.7307692307692307,0.6458333333333333,0.5766129032258065,0.5382352941176473,0.5014245014245018,0.47727272727272757,0.4572254335260115,0.44913644214162324,0.43101449275362264,0.4222875816993458,0.4107913669064741,0.4037652270210401,0.4017875920084112,0.39789156626505945,0.39450867052023053,0.38931506849315023,0.38755496921723803,0.3830008312551953,0.37695035460992904,0.3714872944693572
exploratory_metric,19.0,25.833333333333332,35.75,45.75000000000002,58.666666666666714,68.25000000000004,79.1,86.68333333333328,99.13333333333321,107.68333333333318,114.1999999999998,121.53333333333308,127.36666666666635,132.09999999999974,136.49999999999977,142.09999999999982,146.8833333333332,153.58333333333331,159.45,165.6833333333333
leafnode_counter,17,29,44,58,78,93,110,124,139,150,164,181,196,205,215,228,235,249,261,272
unique_nodes_by_depth,[ 1 11 16  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 29  1  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 41  9  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 55 18  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 71 29  6  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 80 39 13  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 90 51 18  3  0  0  0  0  0  0  0  0  0  0],[ 1 12 97 61 21  3  0  0  0  0  0  0  0  0  0  0],[  1  12 105  77  32   4   1   0   0   0   0   0   0   0   0   0],[  1  12 112  86  37   8   1   0   0   0   0   0   0   0   0   0],[  1  12 112  97  46  11   1   0   0   0   0   0   0   0   0   0],[  1  12 114 110  54  11   1   0   0   0   0   0   0   0   0   0],[  1  12 117 123  54  11   1   0   0   0   0   0   0   0   0   0],[  1  12 119 130  58  13   1   0   0   0   0   0   0   0   0   0],[  1  12 121 136  62  15   1   0   0   0   0   0   0   0   0   0],[  1  12 122 146  66  18   2   0   0   0   0   0   0   0   0   0],[  1  12 125 153  69  19   2   0   0   0   0   0   0   0   0   0],[  1  12 126 165  77  20   2   0   0   0   0   0   0   0   0   0],[  1  12 126 174  83  26   3   0   0   0   0   0   0   0   0   0],[  1  12 127 181  91  33   3   0   0   0   0   0   0   0   0   0]
