,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,28,37,54,72,86,106,133,152,166,187,209,229,245,276,313,352,391,420,456,494
global_efficiency,0.7407407407407407,0.6620370370370369,0.5943396226415092,0.5516431924882629,0.5284313725490197,0.5095238095238098,0.4873737373737378,0.4718543046357616,0.46212121212121193,0.4472222222222219,0.4332532051282048,0.42207602339181244,0.41653005464480825,0.4016969696969691,0.3871260683760679,0.3734126984126977,0.36123117623117545,0.35463499640110535,0.34474010116867154,0.33661901542225975
exploratory_metric,20.0,23.83333333333333,31.49999999999999,39.166666666666664,44.91666666666668,53.50000000000003,64.33333333333339,71.25,76.24999999999997,83.18333333333328,90.1166666666666,96.23333333333323,101.63333333333321,110.46666666666651,120.78333333333318,131.0678571428569,140.88015873015843,148.59206349206315,156.85674603174556,165.95317460317406
leafnode_counter,17,22,35,48,57,71,88,101,109,122,134,144,153,167,183,197,211,222,232,251
unique_nodes_by_depth,[ 1 12 16  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 21  4  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 33  9  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 44 14  2  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 51 20  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 63 27  4  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 75 40  6  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 80 51  9  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 84 57 13  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 89 64 19  3  0  0  0  0  0  0  0  0  0  0],[ 1 12 94 70 25  6  2  0  0  0  0  0  0  0  0  0],[ 1 12 96 79 32  7  3  0  0  0  0  0  0  0  0  0],[  1  12 100  85  36   9   3   0   0   0   0   0   0   0   0   0],[  1  12 102  97  46  14   5   0   0   0   0   0   0   0   0   0],[  1  12 106 107  57  21  10   0   0   0   0   0   0   0   0   0],[  1  12 110 116  66  29  17   1   1   0   0   0   0   0   0   0],[  1  12 112 126  76  39  20   2   2   1   1   0   0   0   0   0],[  1  12 115 134  81  45  24   5   2   1   1   0   0   0   0   0],[  1  12 117 139  89  55  29   8   3   2   2   0   0   0   0   0],[  1  12 119 147  98  62  34  12   6   2   2   0   0   0   0   0]
