,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,29,47,57,74,90,107,125,138,153,173,189,210,242,266,291,301,316,327,345,351
global_efficiency,0.6964285714285714,0.6014492753623187,0.5729166666666666,0.541095890410959,0.5196629213483148,0.4976415094339627,0.483870967741936,0.48114355231143596,0.47532894736842135,0.46434108527131795,0.4531028368794326,0.4371610845295054,0.4183955739972335,0.40855345911949653,0.4013218390804594,0.397944444444444,0.3944444444444439,0.391104294478527,0.38832364341085235,0.38714285714285684
exploratory_metric,19.5,27.66666666666666,32.08333333333333,39.50000000000001,46.25000000000002,52.75000000000004,60.000000000000064,65.91666666666673,72.25000000000004,79.86666666666669,85.18333333333332,91.36666666666663,100.83333333333327,108.26666666666658,116.38333333333321,119.3833333333332,124.24999999999983,127.4999999999998,133.5833333333332,135.4999999999999
leafnode_counter,19,32,40,52,65,75,85,94,105,117,126,135,148,159,172,180,188,195,205,209
unique_nodes_by_depth,[ 1 10 19  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 32  5  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 39  7  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 50 12  2  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 59 18  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 10 65 27  5  0  0  0  0  0  0  0  0  0  0  0],[ 1 11 70 36  8  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 76 41  9  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 85 45 11  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 94 50 16  1  0  0  0  0  0  0  0  0  0  0],[ 1 12 97 58 19  3  0  0  0  0  0  0  0  0  0  0],[ 1 12 99 67 24  6  2  0  0  0  0  0  0  0  0  0],[  1  12 103  78  34  10   5   0   0   0   0   0   0   0   0   0],[  1  12 107  87  40  13   7   0   0   0   0   0   0   0   0   0],[  1  12 112  96  49  14   8   0   0   0   0   0   0   0   0   0],[  1  12 113  99  55  14   8   0   0   0   0   0   0   0   0   0],[  1  12 115 107  59  15   8   0   0   0   0   0   0   0   0   0],[  1  12 115 113  64  15   8   0   0   0   0   0   0   0   0   0],[  1  12 119 120  71  15   8   0   0   0   0   0   0   0   0   0],[  1  12 120 122  74  15   8   0   0   0   0   0   0   0   0   0]
