gen,usage
0,433.90625
1,433.90625
2,433.90625
3,397.83984375
4,412.640625
5,397.83984375
6,397.83984375
7,383.78125
8,382.01171875
9,382.01171875
10,432.60546875
11,432.65234375
12,432.65234375
13,432.65234375
14,432.65234375
15,432.65234375
16,432.65234375
17,418.16015625
18,418.16015625
19,418.1796875
20,384.5078125
21,434.94140625
22,381.19140625
23,428.33984375
24,428.33984375
25,405.6484375
26,405.6484375
27,423.92578125
28,385.6171875
29,429.32421875
30,429.32421875
31,429.32421875
32,429.32421875
33,432.765625
34,432.765625
35,405.65234375
36,397.9453125
37,400.97265625
38,400.97265625
39,384.515625
40,381.5859375
41,381.5859375
42,381.5859375
43,381.5859375
44,381.6484375
45,381.25390625
46,406.08203125
47,384.52734375
48,423.53125
49,423.53125
50,423.53125
51,381.2578125
52,381.2578125
53,423.53515625
54,433.9921875
55,433.9921875
56,434.08203125
57,435.01171875
58,435.01171875
59,383.97265625
60,383.97265625
61,383.97265625
62,395.06640625
63,395.06640625
64,395.06640625
65,395.06640625
66,390.98828125
67,390.98828125
68,384.6171875
69,395.125
70,382.95703125
71,406.34375
72,406.34375
73,382.77734375
74,383.17578125
75,406.18359375
76,405.7578125
77,405.7578125
78,405.7578125
79,405.7578125
80,384.2109375
81,428.10546875
82,429.4375
83,384.984375
84,424.12109375
85,424.12109375
86,424.12109375
87,424.12109375
88,424.12109375
89,387.125
90,386.0390625
91,385.89453125
92,406.30859375
93,384.6328125
94,385.72265625
95,385.72265625
96,432.703125
97,402.3515625
98,402.359375
99,384.55859375
100,395.26171875
