pipeline,cv_score,generation,holdout_score,holdout_roc_auc_score
"MultinomialNB(GradientBoostingClassifier(MultinomialNB(input_matrix, MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=False), GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8021955800139763,19,0.7308680020544427,0.8032871083718542
"MultinomialNB(LogisticRegression(SelectFwe(SGDClassifier(input_matrix, SGDClassifier__alpha=0.0, SGDClassifier__eta0=1.0, SGDClassifier__fit_intercept=False, SGDClassifier__l1_ratio=0.5, SGDClassifier__learning_rate=constant, SGDClassifier__loss=hinge, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=0.0), SelectFwe__alpha=0.037), LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)",0.8087237945492664,19,0.7120698510529019,0.8067796610169492
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,20,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=8, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8008818134171907,20,0.7217770929635337,0.8039034411915768
"MultinomialNB(GradientBoostingClassifier(MultinomialNB(input_matrix, MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=False), GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8021955800139763,20,0.7161273754494093,0.8024653312788906
"MultinomialNB(LogisticRegression(SelectFwe(SGDClassifier(input_matrix, SGDClassifier__alpha=0.0, SGDClassifier__eta0=1.0, SGDClassifier__fit_intercept=False, SGDClassifier__l1_ratio=0.5, SGDClassifier__learning_rate=constant, SGDClassifier__loss=hinge, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=0.0), SelectFwe__alpha=0.037), LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)",0.8087237945492664,20,0.7029789419619927,0.8004108885464818
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,21,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=8, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8008818134171907,21,0.7126861838726246,0.8045197740112995
"MultinomialNB(GradientBoostingClassifier(MultinomialNB(input_matrix, MultinomialNB__alpha=100.0, MultinomialNB__fit_prior=False), GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.25, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.45), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8021955800139763,21,0.7126861838726246,0.8057524396507448
"MultinomialNB(LogisticRegression(SelectFwe(SGDClassifier(input_matrix, SGDClassifier__alpha=0.0, SGDClassifier__eta0=1.0, SGDClassifier__fit_intercept=False, SGDClassifier__l1_ratio=0.5, SGDClassifier__learning_rate=constant, SGDClassifier__loss=hinge, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=0.0), SelectFwe__alpha=0.037), LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)",0.8087237945492664,21,0.7029789419619927,0.8004108885464818
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,22,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.35000000000000003, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.35000000000000003), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)",0.8030634171907757,22,0.7042116076014382,0.7926040061633282
"MultinomialNB(LogisticRegression(SelectFwe(SGDClassifier(input_matrix, SGDClassifier__alpha=0.0, SGDClassifier__eta0=1.0, SGDClassifier__fit_intercept=False, SGDClassifier__l1_ratio=0.5, SGDClassifier__learning_rate=constant, SGDClassifier__loss=hinge, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=0.0), SelectFwe__alpha=0.037), LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)",0.8087237945492664,22,0.705803800719055,0.7985618900873138
"MultinomialNB(input_matrix, MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.7805105695317959,23,0.7104776579352851,0.7993836671802774
"MultinomialNB(GradientBoostingClassifier(input_matrix, GradientBoostingClassifier__learning_rate=0.1, GradientBoostingClassifier__max_depth=1, GradientBoostingClassifier__max_features=0.35000000000000003, GradientBoostingClassifier__min_samples_leaf=18, GradientBoostingClassifier__min_samples_split=7, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.35000000000000003), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)",0.8030634171907757,23,0.7133025166923472,0.799794555726759
