,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
unique_nodes,60,86,112,139,162,198,229,257,293,334,373,394,420,449,477,506,535,556,586,621,649,667,692,714,734,766,793,828,854,888,926,949,979,1009,1039,1075,1108,1136,1173,1199,1216,1250,1266,1290,1314,1337,1357,1384,1405,1427,1455,1476,1506,1543,1561,1570,1590,1614,1641,1679,1700,1718,1740,1764,1781,1803,1822,1848,1877,1907,1925,1951,1976,2002,2026,2050,2084,2106,2118,2144,2168,2190,2214,2225,2241,2269,2296,2314,2332,2350,2367,2400,2420,2449,2479,2493,2521,2537,2565,2572,2592
global_efficiency,0.6271186440677966,0.570588235294118,0.5405405405405409,0.5102657004830919,0.49637681159420277,0.48350253807106564,0.46725146198830353,0.45611979166666594,0.4434931506849306,0.4278063778063772,0.4137384792626725,0.40918756815703367,0.4031281963859529,0.3976057610544218,0.3940351140456185,0.3910443187175866,0.38915864098448444,0.38719648219648306,0.38456450956451044,0.3797369431643635,0.3771145649617883,0.3749553124553136,0.3722675901040602,0.370692246042878,0.36880887416358143,0.3648194833488954,0.3607804232804234,0.35717164737720947,0.35420923351755684,0.35136092768561705,0.34871042471042385,0.346983624673497,0.34492891226019934,0.34326105442176724,0.341047343793007,0.3383535071384217,0.3352034671140346,0.33277218376337153,0.3301458638062716,0.3285535416169788,0.3273799725651559,0.32527450531853863,0.32463862224731593,0.3231334737153181,0.32189823377941984,0.3205357142857122,0.31959369293439877,0.3180069207726453,0.3168390765612966,0.3161702175026136,0.3150793650793628,0.3141528114070464,0.31293571692242556,0.3113931608095008,0.31031237281237045,0.30990267787590686,0.30887600267713305,0.3080413111721209,0.30667053813395034,0.3052140681461276,0.3042569391892502,0.3035619528339369,0.3026406345555264,0.3017119988475617,0.3010736579275892,0.30006298116730856,0.2994857177723725,0.2985783466969165,0.29718520492774153,0.29596220789819905,0.29508382008381967,0.2942140822140821,0.2932210166767128,0.29216086401243824,0.29123437193807583,0.2908245989139112,0.2897987487521819,0.28897560607774464,0.28869956737221825,0.2879822826626383,0.28720178580584776,0.2864591717606805,0.28571087871810996,0.28542184109855107,0.2848653628117927,0.2839546415273943,0.2834400179825033,0.28286994146267985,0.28233726924203295,0.2817641076581069,0.2811806478015288,0.28020091043225875,0.27961754496479796,0.2788455428467704,0.27789243757766974,0.2775360518739352,0.276827601410937,0.27642832106554727,0.27578405517173293,0.2755360461311475,0.2749221971047543
exploratory_metric,37.0,48.50000000000002,60.00000000000004,70.41666666666669,79.91666666666664,95.24999999999993,106.5333333333332,116.76666666666648,129.49999999999974,142.4595238095236,153.91071428571416,160.81071428571423,168.91071428571425,178.12738095238097,187.5607142857144,197.47738095238122,207.81071428571468,214.8940476190481,224.9702380952386,235.4369047619054,244.37023809523882,249.72023809523887,257.2369047619056,264.303571428572,270.3369047619052,279.086904761905,285.73809523809535,295.38095238095224,302.14047619047597,311.65714285714233,322.5571428571421,328.9404761904752,337.34047619047493,346.0071428571414,354.0071428571413,363.39166666666495,371.0702380952363,377.6964285714267,386.9309523809503,393.6071428571406,397.7666666666644,406.2678571428547,410.66785714285464,416.519047619045,422.6523809523783,428.23571428571154,433.36904761904475,439.8035714285685,444.84206349206045,450.858730158727,458.1253968253935,463.3753968253934,470.96825396825045,480.1682539682502,484.0873015872979,486.23730158729785,490.80396825396446,496.870634920631,502.9396825396786,512.1492063492021,516.932539682536,521.2158730158696,526.2920634920605,531.9182539682513,535.9111111111088,540.71349206349,545.3634920634903,551.4742063492048,557.5194444444431,564.1039682539674,567.7412698412691,573.71746031746,579.1115079365078,584.6138888888889,589.7496031746035,595.8996031746041,603.650793650795,608.2936507936524,611.176984126986,617.1460317460339,622.3662698412721,627.0591269841295,632.2781746031774,634.7781746031776,638.0984126984157,644.0091269841303,650.4948412698451,654.2781746031785,658.1281746031788,661.8638888888931,665.2734126984171,672.2019841269888,676.3948412698462,682.6138888888939,688.6174603174655,691.6198412698466,697.6055555555612,701.0222222222279,707.1103174603232,708.4031746031803,712.3234126984185
leafnode_counter,47,64,82,98,114,138,154,170,187,208,229,244,258,273,292,312,335,349,362,381,401,414,429,444,455,471,484,498,509,529,545,558,573,589,603,619,637,651,668,684,691,706,718,731,745,758,767,782,790,801,817,825,837,854,863,870,881,893,904,922,934,940,948,959,961,965,973,980,995,1006,1016,1028,1039,1048,1059,1071,1084,1091,1097,1107,1115,1124,1133,1138,1145,1154,1166,1174,1181,1185,1194,1203,1211,1219,1232,1239,1247,1254,1262,1265,1272
unique_nodes_by_depth,[ 1 14 46  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 63  9  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 80 18  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 90 32  3  0  0  0  0  0  0  0  0  0  0  0],[  1  14 102  41   5   0   0   0   0   0   0   0   0   0   0   0],[  1  14 124  51   9   0   0   0   0   0   0   0   0   0   0   0],[  1  14 134  64  16   1   0   0   0   0   0   0   0   0   0   0],[  1  14 143  77  20   3   0   0   0   0   0   0   0   0   0   0],[  1  14 154  91  28   5   1   0   0   0   0   0   0   0   0   0],[  1  14 162 106  37  12   2   1   0   0   0   0   0   0   0   0],[  1  14 166 122  48  15   5   2   1   0   0   0   0   0   0   0],[  1  14 170 132  52  17   6   2   1   0   0   0   0   0   0   0],[  1  14 175 141  58  20   9   2   1   0   0   0   0   0   0   0],[  1  14 180 152  67  24   9   2   1   0   0   0   0   0   0   0],[  1  14 186 165  73  27   9   2   1   0   0   0   0   0   0   0],[  1  14 191 182  80  27   9   2   1   0   0   0   0   0   0   0],[  1  14 199 196  86  27  10   2   1   0   0   0   0   0   0   0],[  1  14 203 206  93  27  10   2   1   0   0   0   0   0   0   0],[  1  14 212 215  99  30  12   3   1   0   0   0   0   0   0   0],[  1  14 214 232 111  34  12   3   1   0   0   0   0   0   0   0],[  1  14 218 245 119  37  12   3   1   0   0   0   0   0   0   0],[  1  14 219 254 124  40  12   3   1   0   0   0   0   0   0   0],[  1  14 220 269 129  43  13   3   1   0   0   0   0   0   0   0],[  1  14 223 281 133  45  14   3   1   0   0   0   0   0   0   0],[  1  14 225 289 141  46  15   3   1   0   0   0   0   0   0   0],[  1  14 226 301 152  51  18   3   1   0   0   0   0   0   0   0],[  1  14 226 308 163  55  21   4   2   0   0   0   0   0   0   0],[  1  14 227 322 175  60  23   5   2   0   0   0   0   0   0   0],[  1  14 229 327 184  66  26   6   2   0   0   0   0   0   0   0],[  1  14 231 339 195  74  27   6   2   0   0   0   0   0   0   0],[  1  14 235 351 207  81  30   6   2   0   0   0   0   0   0   0],[  1  14 235 362 214  85  31   6   2   0   0   0   0   0   0   0],[  1  14 237 372 224  92  32   6   2   0   0   0   0   0   0   0],[  1  14 240 382 234  97  34   6   2   0   0   0   0   0   0   0],[  1  14 242 391 242 102  40   6   2   0   0   0   0   0   0   0],[  1  14 244 401 253 108  45   7   3   0   0   0   0   0   0   0],[  1  14 244 408 262 118  49  10   3   0   0   0   0   0   0   0],[  1  14 244 413 273 125  53  11   3   0   0   0   0   0   0   0],[  1  14 245 422 285 134  57  12   4   0   0   0   0   0   0   0],[  1  14 245 431 293 140  59  13   4   0   0   0   0   0   0   0],[  1  14 245 435 300 143  61  14   4   0   0   0   0   0   0   0],[  1  14 246 442 314 150  64  15   5   0   0   0   0   0   0   0],[  1  14 247 445 324 152  64  15   5   0   0   0   0   0   0   0],[  1  14 247 452 331 157  67  16   6   0   0   0   0   0   0   0],[  1  14 248 458 339 161  72  16   6   0   0   0   0   0   0   0],[  1  14 248 461 352 166  74  16   6   0   0   0   0   0   0   0],[  1  14 248 466 362 170  75  16   6   0   0   0   0   0   0   0],[  1  14 248 470 376 175  77  17   7   0   0   0   0   0   0   0],[  1  14 248 477 381 178  79  19   8   1   0   0   0   0   0   0],[  1  14 249 483 392 181  80  19   8   1   0   0   0   0   0   0],[  1  14 251 487 404 189  82  19   8   1   0   0   0   0   0   0],[  1  14 251 491 415 194  83  19   8   1   0   0   0   0   0   0],[  1  14 252 496 430 200  85  20   8   1   0   0   0   0   0   0],[  1  14 252 506 442 211  89  20   8   1   0   0   0   0   0   0],[  1  14 252 508 448 215  93  22   8   1   0   0   0   0   0   0],[  1  14 252 509 453 217  94  22   8   1   0   0   0   0   0   0],[  1  14 252 511 461 224  97  22   8   1   0   0   0   0   0   0],[  1  14 253 516 469 231 100  22   8   1   0   0   0   0   0   0],[  1  14 254 518 476 242 104  24   8   1   0   0   0   0   0   0],[  1  14 254 526 490 254 107  25   8   1   0   0   0   0   0   0],[  1  14 254 529 495 265 109  25   8   1   0   0   0   0   0   0],[  1  14 254 532 502 271 111  25   8   1   0   0   0   0   0   0],[  1  14 254 536 508 279 114  26   8   1   0   0   0   0   0   0],[  1  14 254 540 517 286 117  27   8   1   0   0   0   0   0   0],[  1  14 255 541 522 294 118  28   8   1   0   0   0   0   0   0],[  1  14 255 543 529 302 121  30   8   1   0   0   0   0   0   0],[  1  14 256 546 534 309 124  30   8   1   0   0   0   0   0   0],[  1  14 257 551 540 315 129  32   9   1   0   0   0   0   0   0],[  1  14 257 553 547 326 135  35   9   1   0   0   0   0   0   0],[  1  14 257 556 556 338 139  36  10   1   0   0   0   0   0   0],[  1  14 257 557 562 342 142  37  12   2   0   0   0   0   0   0],[  1  14 257 561 570 352 145  38  12   2   0   0   0   0   0   0],[  1  14 257 563 579 359 149  40  13   2   0   0   0   0   0   0],[  1  14 257 566 584 368 156  42  13   2   0   0   0   0   0   0],[  1  14 257 568 592 376 158  44  15   2   0   0   0   0   0   0],[  1  14 257 575 601 383 159  44  15   2   0   0   0   0   0   0],[  1  14 258 579 610 395 165  45  16   2   0   0   0   0   0   0],[  1  14 258 581 614 405 170  46  16   2   0   0   0   0   0   0],[  1  14 258 583 619 409 171  46  16   2   0   0   0   0   0   0],[  1  14 258 586 630 417 173  48  16   2   0   0   0   0   0   0],[  1  14 258 589 638 422 177  51  17   2   0   0   0   0   0   0],[  1  14 258 590 645 431 181  52  17   2   0   0   0   0   0   0],[  1  14 258 592 653 439 185  54  17   2   0   0   0   0   0   0],[  1  14 258 593 657 444 186  54  17   2   0   0   0   0   0   0],[  1  14 258 595 661 447 189  57  18   2   0   0   0   0   0   0],[  1  14 258 597 669 457 194  59  19   2   0   0   0   0   0   0],[  1  14 259 602 675 468 196  61  19   2   0   0   0   0   0   0],[  1  14 259 602 682 474 201  61  19   2   0   0   0   0   0   0],[  1  14 259 603 687 482 205  61  19   2   0   0   0   0   0   0],[  1  14 259 605 690 488 210  63  19   2   0   0   0   0   0   0],[  1  14 259 606 692 496 215  64  19   2   0   0   0   0   0   0],[  1  14 259 609 701 506 221  67  21   2   0   0   0   0   0   0],[  1  14 259 611 704 515 226  68  21   2   0   0   0   0   0   0],[  1  14 259 615 710 523 235  70  21   2   0   0   0   0   0   0],[  1  14 259 617 715 534 243  73  22   2   0   0   0   0   0   0],[  1  14 259 619 718 538 246  75  22   2   0   0   0   0   0   0],[  1  14 259 621 726 549 251  77  22   2   0   0   0   0   0   0],[  1  14 259 622 731 554 256  77  22   2   0   0   0   0   0   0],[  1  14 260 624 738 562 262  81  22   2   0   0   0   0   0   0],[  1  14 260 624 739 564 265  82  22   2   0   0   0   0   0   0],[  1  14 260 625 743 570 270  85  23   2   0   0   0   0   0   0]
