gen,usage
0,417.60546875
1,423.26953125
2,442.28515625
3,393.39453125
4,428.9140625
5,397.4921875
6,397.4921875
7,400.73046875
8,395.93359375
9,398.76171875
10,443.08203125
11,443.08203125
12,443.08203125
13,447.42578125
14,419.015625
15,447.42578125
16,441.66015625
17,442.11328125
18,390.41015625
19,436.68359375
20,436.68359375
21,436.68359375
22,436.68359375
23,436.68359375
24,436.68359375
25,387.59375
26,442.11328125
27,442.11328125
28,442.11328125
29,442.11328125
30,442.11328125
31,391.41796875
32,419.91015625
33,419.91015625
34,419.91015625
35,419.91015625
36,419.91015625
37,419.91015625
38,419.91015625
39,419.91015625
40,436.68359375
41,436.68359375
42,393.59765625
43,445.7421875
44,445.7421875
45,445.7421875
46,396.80859375
47,396.81640625
48,393.59765625
49,443.19921875
50,393.59765625
51,410.61328125
52,393.66015625
53,396.8359375
54,396.84375
55,419.015625
56,419.07421875
57,419.07421875
58,446.828125
59,446.828125
60,443.08203125
61,393.97265625
62,398.41015625
63,398.41015625
64,419.23828125
65,436.796875
66,436.796875
67,432.6953125
68,432.83984375
69,394.078125
70,436.796875
71,402.1484375
72,403.73046875
73,423.67578125
74,423.67578125
75,423.67578125
76,423.67578125
77,406.984375
78,406.984375
79,396.546875
80,405.01171875
81,419.1328125
82,421.01953125
83,407.46875
84,399.8515625
85,400.21875
86,401.671875
87,404.5703125
88,404.5703125
89,419.625
90,419.625
91,403.83203125
92,403.83203125
93,397.92578125
94,419.515625
95,397.4375
96,401.02734375
97,402.16015625
98,421.00390625
99,425.60546875
100,401.328125
