gen,time
0,182.343914270401
1,176.51448011398315
2,175.3916313648224
3,146.66284084320068
4,122.47802400588989
5,209.64340209960938
6,141.7044553756714
7,114.48699021339417
8,88.20895504951477
9,104.44120693206787
10,77.42103219032288
11,109.57056260108948
12,100.75452065467834
13,66.7330470085144
14,70.04206895828247
15,78.94689106941223
16,118.10349488258362
17,193.7383029460907
18,147.49184584617615
19,92.22821927070618
20,207.27639889717102
21,373.9623029232025
22,89.7992582321167
23,70.60950636863708
24,88.34684944152832
25,113.67806768417358
26,96.84544563293457
27,125.11897611618042
28,84.68961954116821
29,95.91926383972168
30,106.82997751235962
31,101.0333993434906
32,106.6692283153534
33,131.81702280044556
34,105.38138604164124
35,94.69868183135986
36,114.02738523483276
37,122.85903859138489
38,175.11143898963928
39,124.40638566017151
40,92.86507225036621
41,105.34937143325806
42,349.7206370830536
43,99.30635595321655
44,135.66742205619812
45,121.68051528930664
46,99.65664196014404
47,75.81170439720154
48,132.4736385345459
49,388.14373302459717
50,166.96606421470642
51,333.4890103340149
52,140.49264478683472
53,139.46100163459778
54,122.60362529754639
55,144.52927374839783
56,183.3975327014923
57,152.55176281929016
58,151.93823099136353
59,150.26580572128296
60,172.48596262931824
61,121.45999717712402
62,134.92866849899292
63,186.8962903022766
64,184.148597240448
65,138.55380129814148
66,168.8060553073883
67,113.91372513771057
68,225.70507407188416
69,182.5027675628662
70,213.03459906578064
71,206.34528875350952
72,201.14424180984497
73,257.9021933078766
74,244.06342363357544
75,539.2441065311432
76,226.7966754436493
77,170.7587161064148
78,212.87299633026123
79,299.5667290687561
80,386.9449074268341
81,333.74747252464294
82,238.9171507358551
83,560.4484314918518
84,379.6836166381836
85,249.69550108909607
86,205.6634395122528
87,294.1323263645172
88,245.9566195011139
89,476.38581013679504
90,383.3580164909363
91,479.69049191474915
92,222.19075274467468
93,282.44102215766907
94,353.7901539802551
95,276.9137260913849
96,328.2298743724823
97,249.13161158561707
98,240.5609118938446
99,504.014949798584
100,224.87379097938538
