operator_count,score,generation
2.0,0.5085326766729206,0
1.0,0.5198100375234522,0
1.0,0.5246255472170107,0
2.0,0.6262875234521577,0
1.0,0.5198100375234522,0
2.0,0.7812632895559725,0
1.0,0.4777751719824891,0
1.0,0.6101305503439649,0
1.0,0.5246255472170107,0
1.0,0.6487890869293309,0
1.0,0.7086429018136335,0
1.0,0.7437585991244527,0
1.0,0.6559490306441527,0
1.0,0.6060725453408379,0
1.0,0.511192933083177,0
2.0,0.5899749843652283,0
1.0,0.511192933083177,0
1.0,0.5887922138836773,0
1.0,0.7101125703564728,0
1.0,0.7375437773608505,0
1.0,0.4902540650406504,0
2.0,0.5398162914321452,0
1.0,0.6349460600375234,0
2.0,0.582479674796748,0
1.0,0.5886319574734208,0
1.0,0.5563484990619137,0
2.0,0.8037038774233896,0
1.0,0.47337242026266413,0
2.0,0.7372646966854284,0
1.0,0.5274749843652283,0
2.0,0.6037875234521576,0
2.0,0.48481160100062537,0
2.0,0.5372858036272671,0
1.0,0.511192933083177,0
2.0,0.6113469355847405,0
1.0,0.5072764227642276,0
1.0,0.7096091307066916,0
1.0,0.5001516572858036,0
1.0,0.7163258286429018,0
2.0,0.8210530018761727,0
1.0,0.8236718261413383,1
2.0,0.5561257035647278,1
1.0,0.5246255472170107,1
3.0,0.5170340838023766,1
2.0,0.7045114133833646,1
1.0,0.5124429330831769,1
2.0,0.5922920575359599,1
3.0,0.5173108192620387,1
3.0,0.9824679487179486,1
1.0,0.5073772670419012,1
1.0,0.8209842088805503,1
1.0,0.5335967792370232,1
1.0,0.5301305503439651,1
1.0,0.6449155722326454,1
2.0,0.5146880863039399,1
2.0,0.5835999061913695,1
1.0,0.5310647279549718,1
1.0,0.4974304252657912,1
1.0,0.7213258286429018,1
2.0,0.7423319262038774,1
2.0,0.5011882426516573,1
3.0,0.7260146966854284,1
1.0,0.7949828017510945,1
2.0,0.4937843964978111,1
2.0,0.5399444965603503,1
1.0,0.5246255472170107,1
1.0,0.511192933083177,1
1.0,0.7011382113821139,1
2.0,0.6848530331457161,1
2.0,0.5198100375234522,1
2.0,0.4769973420888055,1
2.0,0.5562554721701064,1
2.0,0.49603111319574733,1
2.0,0.5986640087554722,1
2.0,0.5487539086929331,1
2.0,0.698662445278299,1
2.0,0.6444504377736084,1
1.0,0.49180972482801755,1
2.0,0.6062890869293309,1
2.0,0.5563484990619137,1
2.0,0.7650727016885552,2
4.0,0.941025641025641,2
2.0,0.9824679487179486,2
1.0,0.7412023139462164,2
1.0,0.8148913383364602,2
2.0,0.6086045966228892,2
3.0,0.9824679487179486,2
2.0,0.753609287054409,2
2.0,0.8824218261413384,2
4.0,0.9824679487179486,2
1.0,0.8274491869918699,2
1.0,0.6048850844277673,2
1.0,0.6325343964978111,2
3.0,0.9849679487179486,2
2.0,0.9837179487179487,2
2.0,0.8323624140087554,2
2.0,0.5825695747342088,2
1.0,0.8460209505941213,2
1.0,0.8122662601626016,2
1.0,0.7461749530956847,2
2.0,0.807359287054409,2
1.0,0.6011655722326454,2
3.0,0.9837179487179487,2
2.0,0.9837179487179487,2
2.0,0.9837179487179487,2
2.0,0.5850922451532208,2
1.0,0.7462664165103189,2
2.0,0.48759224515322075,2
3.0,0.9837179487179487,2
1.0,0.7699218261413383,2
3.0,0.9874679487179486,2
1.0,0.511192933083177,2
4.0,0.9812179487179489,2
1.0,0.7462664165103189,2
1.0,0.8337406191369606,2
1.0,0.7374202626641652,2
1.0,0.7374202626641652,2
2.0,0.868833646028768,2
1.0,0.47286663539712315,2
1.0,0.7899765478424016,2
3.0,0.9612789243277049,3
3.0,0.9712179487179486,3
2.0,0.9837179487179487,3
1.0,0.7949843652282675,3
2.0,0.9837179487179487,3
3.0,0.9862179487179488,3
5000.0,-inf,3
3.0,0.5086593183239524,3
1.0,0.7949843652282675,3
1.0,0.7949843652282675,3
2.0,0.9837179487179487,3
1.0,0.7949843652282675,3
1.0,0.7949843652282675,3
5000.0,-inf,3
2.0,0.9837179487179487,3
1.0,0.7949843652282675,3
3.0,0.9862179487179488,3
3.0,0.84989602876798,3
2.0,0.9849679487179486,3
5000.0,-inf,3
1.0,0.7949843652282675,3
5000.0,-inf,3
2.0,0.6475711382113821,3
3.0,0.5350633208255159,3
3.0,0.9363961851156974,3
2.0,0.9811858974358975,3
3.0,0.9837179487179487,3
1.0,0.7949843652282675,3
1.0,0.7949843652282675,3
3.0,0.4712492182614133,3
2.0,0.9837179487179487,3
2.0,0.9837179487179487,3
2.0,0.9837179487179487,3
2.0,0.5324749843652283,3
2.0,0.9837179487179487,3
2.0,0.9837179487179487,3
2.0,0.9849679487179486,3
2.0,0.5284380863039401,3
1.0,0.7949843652282675,3
2.0,0.9837179487179487,3
2.0,0.811266416510319,4
5000.0,-inf,4
1.0,0.533692933083177,4
2.0,0.7754065040650406,4
2.0,0.4749976547842401,4
1.0,0.7435772357723578,4
4.0,0.9799679487179487,4
2.0,0.8298592870544089,4
4.0,0.9812484365228269,4
2.0,0.8149538774233896,4
4.0,0.5824140087554721,4
2.0,0.8298592870544089,4
1.0,0.8010803627267041,4
3.0,0.9862179487179488,4
1.0,0.7862023139462163,4
5000.0,-inf,4
4.0,0.8662070043777362,4
4.0,0.9837179487179487,4
2.0,0.8298592870544089,4
2.0,0.8149538774233896,4
2.0,0.8298592870544089,4
1.0,0.8063320825515946,4
2.0,0.8298592870544089,4
3.0,0.5525,4
4.0,0.976153846153846,4
2.0,0.8149538774233896,4
4.0,0.9849679487179486,4
2.0,0.8149538774233896,4
2.0,0.8174874921826142,4
1.0,0.7999874921826142,4
1.0,0.7948975922451532,4
3.0,0.9849679487179488,4
2.0,0.8149538774233896,4
3.0,0.9849679487179486,4
4.0,0.5512570356472796,4
2.0,0.8149538774233896,4
2.0,0.811266416510319,4
5000.0,-inf,4
3.0,0.9824679487179487,4
1.0,0.815083646028768,4
3.0,0.5960037523452157,5
2.0,0.9824679487179486,5
2.0,0.7035983427141963,5
2.0,0.7910514383989993,5
1.0,0.797426516572858,5
3.0,0.618790650406504,5
1.0,0.8125195434646655,5
3.0,0.7974202626641651,5
2.0,0.6699233896185116,5
2.0,0.7324233896185116,5
2.0,0.7573272357723577,5
3.0,0.7436077235772358,5
2.0,0.8312711069418386,5
2.0,0.8249828017510943,5
1.0,0.816266416510319,5
2.0,0.6761257035647281,5
1.0,0.7986413383364603,5
1.0,0.6061976235146966,5
1.0,0.8075531582238898,5
3.0,0.7261124140087555,5
1.0,0.8162711069418387,5
1.0,0.806333646028768,5
1.0,0.8162711069418387,5
2.0,0.7324233896185116,5
3.0,0.5811335209505941,5
2.0,0.817614133833646,5
1.0,0.6711718261413383,5
2.0,0.511192933083177,5
3.0,0.9837179487179487,5
3.0,0.8325148530331458,5
1.0,0.8137406191369607,5
2.0,0.4873436522826767,5
1.0,0.7975179799874922,5
1.0,0.48734052532833017,5
2.0,0.8486413383364603,5
2.0,0.7451031894934335,5
1.0,0.8062343652282676,5
2.0,0.7849171357098187,5
3.0,0.5812249843652282,5
1.0,0.8013015947467167,5
3.0,0.9837179487179487,6
3.0,0.7370708255159475,6
3.0,0.9837179487179487,6
3.0,0.9824679487179486,6
2.0,0.9837179487179487,6
2.0,0.9824679487179486,6
3.0,0.9837179487179487,6
2.0,0.6538211382113821,6
3.0,0.9661858974358974,6
2.0,0.6860451844903064,6
2.0,0.9824679487179486,6
2.0,0.9824984365228268,6
3.0,0.4800664477798624,6
3.0,0.7048803939962477,6
3.0,0.9837179487179487,6
2.0,0.9824679487179486,6
2.0,0.9849679487179488,6
3.0,0.9874679487179489,6
2.0,0.9824679487179486,6
2.0,0.4973772670419012,6
2.0,0.9837179487179487,6
3.0,0.9837179487179487,6
3.0,0.9837179487179487,6
3.0,0.9837179487179487,6
2.0,0.5826274233896186,6
3.0,0.98125,6
2.0,0.545040650406504,6
2.0,0.9824679487179486,6
3.0,0.8824554409005628,6
2.0,0.9824679487179486,6
2.0,0.9862179487179488,6
2.0,0.9824679487179486,6
2.0,0.9412468730456535,6
2.0,0.9849679487179486,6
2.0,0.8062664165103189,6
3.0,0.9837179487179487,6
2.0,0.9837179487179487,6
2.0,0.9837179487179487,6
2.0,0.9824679487179486,6
3.0,0.9837179487179487,6
2.0,0.7135983427141965,7
3.0,0.9474968730456534,7
3.0,0.9837179487179487,7
2.0,0.9712789243277049,7
2.0,0.7135983427141965,7
3.0,0.5147263914946841,7
