gen,usage
0,382.43359375
1,382.4375
2,382.4375
3,382.4375
4,382.4375
5,382.4375
6,382.4375
7,382.4375
8,382.4453125
9,382.4453125
10,382.4453125
11,382.5078125
12,382.5078125
13,382.5078125
14,382.5078125
15,382.5078125
16,382.5078125
17,382.5078125
18,382.5078125
19,382.5078125
