,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,33,49,61,85,102,106,111,119,125,131,134,135,135,136,140,143,144,147,149,150
global_efficiency,0.6875,0.6145833333333331,0.5916666666666666,0.541666666666667,0.5132013201320138,0.5095238095238102,0.5030303030303037,0.49858757062146963,0.49059139784946315,0.48397435897435975,0.4805764411027577,0.48072139303482664,0.48072139303482664,0.48086419753086496,0.47781774580335795,0.474765258215963,0.4749417249417255,0.47203196347032006,0.470157657657658,0.46923937360179
exploratory_metric,22.0,29.499999999999993,35.49999999999999,45.50000000000003,51.83333333333339,53.500000000000064,55.33333333333341,58.833333333333414,60.83333333333343,62.91666666666677,63.91666666666678,64.41666666666677,64.41666666666677,64.91666666666677,66.41666666666676,67.41666666666674,67.91666666666674,68.91666666666673,69.58333333333339,69.91666666666671
leafnode_counter,24,34,46,63,74,77,80,86,88,92,94,95,95,96,99,101,102,102,104,105
unique_nodes_by_depth,[ 1 11 22  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 31  6  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 43  6  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 51 21  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 55 34  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 57 36  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 58 40  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 63 43  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 63 49  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 64 53  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 64 56  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 65 56  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 65 56  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 66 56  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 67 59  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 67 62  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 68 62  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 68 65  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 68 67  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 68 68  1  0  0  0  0  0  0  0  0  0  0  0]
