,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,37,49,59,70,82,97,103,118,121,125,126,129,132,136,146,168,195,216,245,269
global_efficiency,0.6944444444444444,0.6249999999999999,0.6034482758620688,0.5869565217391304,0.5555555555555557,0.5269097222222227,0.5187908496732031,0.49928774928774994,0.49791666666666734,0.49260752688172116,0.49133333333333407,0.4889322916666674,0.48536895674300334,0.48086419753086485,0.46839080459770166,0.4496007984031938,0.4304123711340205,0.41744186046511594,0.4028005464480869,0.3923507462686562
exploratory_metric,25.0,29.999999999999993,34.99999999999999,40.49999999999999,45.000000000000014,50.58333333333337,52.916666666666714,58.41666666666674,59.75000000000008,61.08333333333342,61.41666666666676,62.58333333333343,63.583333333333435,64.91666666666676,67.91666666666674,75.08333333333336,83.49999999999997,89.74999999999993,98.2833333333332,105.14999999999985
leafnode_counter,26,31,41,52,60,71,75,84,87,89,90,93,94,96,102,112,128,139,154,165
unique_nodes_by_depth,[ 1 13 24  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 30  6  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 40  6  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 51  6  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 54 15  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 58 25  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 60 29  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 63 41  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 65 42  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 65 46  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 65 47  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 66 49  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 66 52  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 66 56  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 67 59  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 70 70 15  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 73 81 28  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 74 90 39  0  0  0  0  0  0  0  0  0  0  0],[  1  13  75 103  53   1   0   0   0   0   0   0   0   0   0   0],[  1  13  77 111  61   7   0   0   0   0   0   0   0   0   0   0]
