operator_count,score,generation,,,
2,0.523415416,2,,,
2,0.594894465,2,,,
2,0.68456379,2,,,
1,0.530936523,2,,,
2,0.668905566,2,,,
3,0.534753752,2,,,
1,0.514123671,2,,,
1,0.551981707,2,,,
1,0.546778455,2,,,
2,0.536099124,2,,,
3,0.779898374,2,,,
2,0.544813164,2,,,
2,0.72932536,2,,,
1,0.561409475,2,,,
1,0.58976626,2,,,
1,0.596687774,2,,,
1,0.502133365,2,,,
1,0.536444653,2,,,
1,0.57931207,2,,,
1,0.541641651,2,,,
2,0.609706848,2,,,
2,0.564915572,2,,,
1,0.537188086,2,,,
3,0.735974046,2,,,
2,0.5,2,,,
1,0.745198562,2,,,
2,0.540391651,2,,,
3,0.65476626,2,,,
2,0.554378518,2,,,
2,0.608575672,2,,,
2,0.533438086,2,,,
2,0.69356551,2,,,
2,0.788866479,3,,,
2,0.716700281,3,,,
1,0.568912602,3,,,
2,0.612264697,3,,,
2,0.517098186,3,,,
2,0.593676517,3,,,
1,0.506318011,3,,,
2,0.772866635,3,,,
1,0.731294559,3,,,
3,0.665379925,3,,,
3,0.672443715,3,,,
1,0.590175109,3,,,
2,0.755010944,3,,,
2,0.617580519,3,,,
2,0.512218574,3,,,
2,0.737288149,3,,,
2,0.736846467,3,,,
3,0.674876485,3,,,
3,0.522311601,3,,,
3,0.748889149,3,,,
3,0.671636179,3,,,
3,0.759983583,3,,,
2,0.611300031,3,,,
3,0.675030488,3,,,
4,0.624025954,3,,,
2,0.756135866,3,,,
2,0.552069262,3,,,
2,0.727890869,3,,,
3,0.689566917,3,,,
1,0.577324109,3,,,
1,0.594853033,3,,,
1,0.647660256,3,,,
2,0.700081301,3,,,
2,0.597040338,3,,,
2,0.606078799,3,,,
3,0.643613977,3,,,
4,0.664068949,3,,,
2,0.617328799,3,,,
2,0.551350063,3,,,
2,0.746050657,3,,,
2,0.583760163,4,,,
2,0.582872889,4,,,
1,0.636312539,4,,,
2,0.600175109,4,,,
1,0.679035335,4,,,
3,0.794965604,4,,,
2,0.742788462,4,,,
2,0.492476548,4,,,
1,0.50621873,4,,,
1,0.76354753,4,,,
2,0.74791354,4,,,
2,0.782584428,4,,,
1,0.743610069,4,,,
2,0.515686366,4,,,
3,0.697779081,4,,,
3,0.507311601,4,,,
2,0.815863039,4,,,
1,0.573188712,4,,,
1,0.593865697,4,,,
1,0.568943089,4,,,
1,0.626216385,4,,,
2,0.781175735,4,,,
3,0.753858662,4,,,
2,0.77433005,4,,,
1,0.607453877,4,,,
2,0.77370935,4,,,
2,0.534068168,4,,,
1,0.520594121,4,,,
2,0.601147592,4,,,
1,0.592723577,4,,,
2,0.588542058,4,,,
2,0.695257974,4,,,
2,0.769951532,4,,,
3,0.535753596,4,,,
1,0.728820356,4,,,
2,0.767358505,4,,,
1,0.500970919,4,,,
2,0.544040807,4,,,
1,0.76354753,4,,,
2,0.757451532,4,,,
1,0.626246873,5,,,
1,0.668908693,5,,,
2,0.797784553,5,,,
2,0.682629769,5,,,
2,0.566319575,5,,,
3,0.610030488,5,,,
1,0.725168074,5,,,
1,0.765209506,5,,,
2,0.768674171,5,,,
4,0.597635241,5,,,
1,0.468027674,5,,,
3,0.733918074,5,,,
2,0.733538149,5,,,
2,0.790458099,5,,,
2,0.747914321,5,,,
1,0.679036898,5,,,
3,0.707729049,5,,,
4,0.746171044,5,,,
3,0.777396811,5,,,
3,0.755015635,5,,,
1,0.618644465,5,,,
1,0.525164165,5,,,
3,0.778265322,5,,,
1,0.661899625,5,,,
2,0.785020325,5,,,
2,0.5,5,,,
3,0.771425891,5,,,
1,0.469994528,5,,,
2,0.773738274,5,,,
1,0.507215447,5,,,
1,0.725168074,5,,,
2,0.50987414,5,,,
3,0.742568793,5,,,
2,0.858770325,5,,,
2,0.521098343,5,,,
1,0.661899625,5,,,
2,0.766268762,5,,,
1,0.689070513,5,,,
2,0.768770325,5,,,
2,0.666846467,5,,,
2,0.783834428,6,,,
4,0.75063868,6,,,
2,0.727506254,6,,,
3,0.803257505,6,,,
2,0.728635866,6,,,
2,0.519692777,6,,,
3,0.764924171,6,,,
1,0.501658068,6,,,
3,0.636365697,6,,,
2,0.571423546,6,,,
2,0.686597874,6,,,
1,0.757294403,6,,,
1,0.513628831,6,,,
1,0.545098499,6,,,
2,0.751331301,6,,,
1,0.735387742,6,,,
4,0.779520013,6,,,
2,0.75623671,6,,,
1,0.571207004,6,,,
1,0.682538305,6,,,
3,0.573671826,6,,,
1,0.76354753,6,,,
2,0.542632114,6,,,
2,0.731012351,6,,,
1,0.513628831,6,,,
2,0.687761101,6,,,
4,#NAME?,6,,,
3,0.750537054,6,,,
1,0.497313164,6,,,
2,0.767855691,6,,,
1,0.520811445,6,,,
4,0.738043308,6,,,
2,0.498780488,6,,,
2,0.769930425,6,,,
2,0.783049562,6,,,
1,0.682446842,6,,,
2,0.77230222,6,,,
4,0.486998124,6,,,
3,0.742270951,6,,,
3,0.495747342,6,,,
2,0.765984991,7,,,
3,0.732199812,7,,,
1,0.501655722,7,,,
2,0.746640869,7,,,
3,0.757141964,7,,,
