gen,time
0,563.7310461997986
1,155.89469528198242
2,118.23211121559143
3,70.5077109336853
4,140.94189023971558
5,320.9442660808563
6,3227.1387979984283
7,3209.2314279079437
8,2700.163550376892
9,2377.722015142441
10,1442.14421749115
11,132.6374683380127
12,106.51883840560913
13,255.94141960144043
14,298.5335969924927
15,133.28988575935364
16,183.52413630485535
17,322.1278643608093
18,215.86404490470886
19,413.98318672180176
20,277.2238767147064
21,254.79396176338196
22,316.7493562698364
23,292.339275598526
24,493.1489927768707
25,696.9724316596985
26,441.69096779823303
27,648.1181628704071
28,835.0340256690979
29,697.4204716682434
30,642.3959789276123
31,313.8215775489807
32,1159.2501311302185
33,425.1554825305939
34,638.3371670246124
35,759.584370136261
36,879.5775923728943
37,917.4535450935364
38,1782.2960209846497
39,1576.6206831932068
40,608.1895337104797
41,525.7891128063202
42,35.63438367843628
43,63.65805649757385
44,159.37646961212158
45,201.1746060848236
46,164.46803998947144
47,199.38409280776978
48,100.13626980781555
49,360.6410756111145
50,282.10960936546326
51,346.25834131240845
52,210.8712282180786
53,304.2547631263733
54,184.2189862728119
55,340.2500240802765
56,179.8031711578369
57,334.36986088752747
58,350.31019854545593
59,284.73087191581726
60,733.1812062263489
61,338.8183436393738
62,618.710286617279
63,559.4589409828186
64,187.1226372718811
65,77.52845525741577
66,145.39922332763672
67,81.36689686775208
68,63.625837326049805
69,203.25513625144958
70,139.86801767349243
71,111.63168144226074
72,71.76716613769531
73,100.6236891746521
74,104.46027040481567
75,52.228217363357544
76,84.71725630760193
77,94.01385068893433
78,81.60206890106201
79,126.24544477462769
80,166.59049081802368
81,470.2772135734558
82,622.0733897686005
83,240.82189631462097
84,207.00013184547424
85,364.4229257106781
86,382.3192949295044
87,333.7953119277954
88,381.8351957798004
89,647.9113616943359
90,343.27109932899475
91,437.83443117141724
92,354.9470024108887
93,357.2302522659302
94,377.0519301891327
95,214.51265120506287
96,407.520236492157
97,265.2745327949524
98,196.80154252052307
99,249.92862486839294
100,185.04213190078735
