gen,usage
0,288.3203125
1,288.68359375
2,258.58203125
3,258.80078125
4,290.68359375
5,290.78125
6,291.21875
7,291.28125
8,296.85546875
9,298.85546875
10,298.97265625
11,282.46875
12,282.4921875
13,302.50390625
14,283.390625
15,303.98828125
16,304.0546875
17,304.05859375
18,304.17578125
19,304.1953125
20,304.3125
21,285.09765625
22,285.1328125
23,284.4609375
24,308.26171875
25,308.515625
26,308.55078125
27,329.3515625
28,329.41015625
29,329.50390625
30,329.5703125
31,329.62109375
32,329.63671875
33,329.703125
34,329.7578125
35,329.8359375
36,329.87890625
37,329.99609375
38,330.00390625
39,330.10546875
40,330.109375
41,330.1953125
42,285.59375
43,285.7109375
44,285.75390625
45,285.765625
46,309.75390625
47,309.90234375
48,309.96484375
49,309.9921875
50,310.1171875
51,310.28125
52,310.296875
53,351.953125
54,355.07421875
55,358.9375
56,361.06640625
57,361.62890625
58,361.6640625
59,361.609375
60,322.2421875
61,346.22265625
62,341.390625
63,341.40234375
64,341.56640625
65,340.765625
66,340.78125
67,340.8984375
68,340.8984375
69,340.9921875
70,341.0390625
71,359.4375
72,359.5
73,362.48046875
74,362.53125
75,362.09765625
76,339.22265625
77,339.23046875
78,339.3984375
79,339.4609375
80,339.57421875
81,339.62890625
82,322.69921875
83,322.74609375
84,322.828125
85,337.64453125
86,337.6484375
87,321.00390625
88,321.07421875
89,321.140625
90,321.19140625
91,337.95703125
92,338.02734375
93,321.37890625
94,321.48828125
95,321.49609375
96,321.49609375
97,321.5078125
98,338.25
99,351.76953125
100,351.8046875
