generations,test_score,upper_ci,lower_ci,holdout_score,holdout_roc_auc_score,type
0.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
1.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
1.0,0.7413793103448276,0.7977254208502798,0.6850331998393755,0.7653826399589112,0.7653826399589112,baseline
2.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
2.0,0.7758620689655172,0.8295234713591507,0.7222006665718838,0.75814072932717,0.75814072932717,baseline
3.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
3.0,0.7241379310344828,0.781651288588195,0.6666245734807705,0.7609655880842321,0.7609655880842321,baseline
4.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
4.0,0.7413793103448276,0.7977254208502798,0.6850331998393755,0.7544427324088341,0.7544427324088341,baseline
5.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
5.0,0.7198275862068966,0.777615765015621,0.6620394073981721,0.7575243965074474,0.7575243965074474,baseline
6.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
6.0,0.75,0.8057202062030494,0.6942797937969506,0.7246019517205957,0.7246019517205958,baseline
7.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
7.0,0.7327586206896551,0.7897021524413496,0.6758150889379607,0.7603492552645095,0.7603492552645095,baseline
8.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
8.0,0.7327586206896551,0.7897021524413496,0.6758150889379607,0.7704160246533128,0.7704160246533129,baseline
9.0,0.7112068965517241,0.7695250101442952,0.652888782959153,0.7104776579352851,0.7993836671802774,baseline
9.0,0.7758620689655172,0.8295234713591507,0.7222006665718838,0.7496661530559836,0.7496661530559836,baseline
