gen,usage
0,300.30859375
1,300.96484375
2,267.75
3,271.01953125
4,290.24609375
5,290.5078125
6,273.93359375
7,291.76171875
8,292.19921875
9,292.20703125
10,292.29296875
11,275.3984375
12,275.40234375
13,275.546875
14,276.14453125
15,276.15234375
16,275.59765625
17,275.64453125
18,293.33203125
19,293.33984375
20,293.3828125
21,293.5546875
22,297.05859375
23,297.08203125
24,300.703125
25,300.7734375
26,300.86328125
27,300.8828125
28,297.65234375
29,298.0859375
30,298.0859375
31,300.29296875
32,276.61328125
33,276.69921875
34,302.66796875
35,304.4453125
36,309.89453125
37,309.8984375
38,332.76171875
39,303.265625
40,327.609375
41,327.6484375
42,327.6796875
43,309.515625
44,309.55859375
45,327.78515625
46,310.26171875
47,310.29296875
48,310.578125
49,310.6796875
50,298.28515625
51,298.31640625
52,298.5078125
53,298.51171875
54,298.51171875
55,298.5546875
56,297.94140625
57,297.75390625
58,246.97265625
59,247.81640625
60,248.046875
61,248.19140625
62,248.39453125
63,248.47265625
64,248.5625
65,248.5703125
66,248.671875
67,248.6796875
68,248.6796875
69,248.8125
70,228.57421875
71,228.6875
72,250.54296875
73,271.41796875
74,271.578125
75,271.5859375
76,271.60546875
77,226.4765625
78,226.5859375
79,226.5859375
80,229.1953125
81,229.22265625
82,252.90625
83,232.03125
84,232.09765625
85,244.12109375
86,229.59765625
87,229.6484375
88,229.66796875
89,251.3046875
90,251.32421875
91,251.359375
92,251.453125
93,251.6171875
94,251.63671875
95,251.6875
96,251.75
97,229.98828125
98,230.078125
99,230.1171875
100,252.40625
