gen,usage
0,316.42578125
1,316.42578125
2,319.20703125
3,319.20703125
4,319.20703125
5,289.8515625
6,291.14453125
7,291.14453125
8,271.77734375
9,278.10546875
10,278.10546875
11,301.12890625
12,301.12890625
13,302.23046875
14,274.69140625
15,276.14453125
16,274.89453125
17,299.73828125
18,299.73828125
19,320.71875
20,320.71875
21,320.71875
22,320.71875
23,320.7421875
24,296.76171875
25,296.76171875
26,297.86328125
27,298.921875
28,299.98046875
29,324.953125
30,324.953125
31,324.953125
32,283.05859375
33,285.49609375
34,325.859375
35,326.03515625
36,327.0546875
37,327.0546875
38,327.05859375
39,327.08984375
40,327.08984375
41,327.08984375
42,327.08984375
43,307.37890625
44,330.109375
45,330.109375
46,330.109375
47,330.109375
48,285.13671875
49,286.5
50,285.2421875
51,327.44140625
52,327.44140625
53,327.44140625
54,327.44140625
55,293.62890625
56,293.62890625
57,309.01171875
58,282.46875
59,282.47265625
60,284.203125
61,317.9375
62,317.9375
63,317.9375
64,328.41796875
65,327.4765625
66,327.4765625
67,320.93359375
68,320.93359375
69,327.4375
70,327.4375
71,327.4375
72,327.4375
73,327.4375
74,327.4375
75,327.4375
76,327.4375
77,277.69921875
78,287.8671875
79,310.2109375
80,327.4453125
81,327.4453125
82,282.69921875
83,324.09375
84,327.4296875
85,327.4296875
86,327.4296875
87,314.38671875
88,327.4296875
89,327.4296875
90,327.4296875
91,327.4296875
92,303.2734375
93,303.2734375
94,328.41796875
95,303.89453125
96,303.89453125
97,303.89453125
98,303.89453125
99,303.89453125
100,303.89453125
