gen,usage
0,321.5078125
1,325.80859375
2,323.04296875
3,355.7265625
4,356.03515625
5,356.03515625
6,356.0390625
7,356.04296875
8,356.0546875
9,356.0546875
10,365.5078125
11,365.5078125
12,365.5078125
13,365.5078125
14,365.5078125
15,347.6328125
16,368.6171875
17,368.6171875
18,368.6171875
19,365.6484375
20,365.6484375
21,322.24609375
22,368.6171875
23,368.6171875
24,368.6171875
25,368.9765625
26,368.9765625
27,318.92578125
28,323.21875
29,323.21875
30,323.96484375
31,323.96484375
32,329.79296875
33,329.79296875
34,318.92578125
35,323.83984375
36,324.0625
37,324.28515625
38,324.5234375
39,324.5234375
40,324.5234375
41,340.8671875
42,340.8671875
43,340.8671875
44,340.8671875
45,340.8671875
46,340.8671875
47,340.8671875
48,340.8671875
49,340.8671875
50,340.88671875
51,368.55078125
52,368.6015625
53,368.63671875
54,368.6796875
55,368.734375
56,368.734375
57,368.734375
58,368.734375
59,368.734375
60,368.734375
61,368.734375
62,368.734375
63,326.6953125
64,326.6953125
65,326.6953125
66,326.6953125
67,326.6953125
68,326.6953125
69,326.6953125
70,326.6953125
71,326.6953125
72,326.6953125
73,326.6953125
74,326.6953125
75,326.6953125
76,326.6953125
77,326.6953125
78,326.6953125
79,326.6953125
80,326.69921875
81,326.69921875
82,326.69921875
83,326.69921875
84,326.69921875
85,326.69921875
86,326.69921875
87,326.69921875
88,326.69921875
89,330.72265625
90,330.72265625
91,353.328125
92,357.45703125
93,353.3203125
94,353.328125
95,353.328125
96,353.09765625
97,353.328125
98,353.328125
99,353.328125
100,353.328125
