gen,time
0,391.2315468788147
1,209.5640788078308
2,451.2558767795563
3,107.27940344810486
4,87.05353951454163
5,75.20799517631531
6,202.81043457984924
7,316.5985324382782
8,215.39532589912415
9,229.60497546195984
10,223.11436891555786
11,278.1496510505676
12,94.62867403030396
13,99.1605658531189
14,65.52527785301208
15,82.2853946685791
16,166.62982773780823
17,184.6893413066864
18,123.04063248634338
19,109.88292026519775
20,77.18322777748108
21,87.41548752784729
22,78.10368704795837
23,77.56642603874207
24,118.51845955848694
25,58.463398694992065
26,56.92510676383972
27,141.22984194755554
28,216.0861644744873
29,50.12208914756775
30,58.41821908950806
31,77.52463364601135
32,115.53992486000061
33,166.1599760055542
34,88.34449768066406
35,220.1426522731781
36,90.70397734642029
37,98.9908561706543
38,436.07124042510986
39,252.09558701515198
40,114.71005058288574
41,58.14411377906799
42,241.74480485916138
43,338.0138816833496
44,138.75220894813538
45,101.73456168174744
46,180.17806315422058
47,100.98002314567566
48,63.13768935203552
49,129.74277472496033
50,108.83539009094238
51,134.57339239120483
52,119.89696907997131
53,107.27904105186462
54,176.13933801651
55,408.80498576164246
56,115.61297631263733
57,190.12837147712708
58,233.3495056629181
59,147.00407528877258
60,249.352783203125
61,111.27483439445496
62,144.68385863304138
63,178.74942922592163
64,500.2486698627472
65,219.2879502773285
66,136.65211963653564
67,167.16614365577698
68,57.67896819114685
69,642.8826475143433
70,219.3453392982483
71,224.92537784576416
72,173.90017223358154
73,193.21576738357544
74,185.87444853782654
75,169.18721842765808
76,142.6511549949646
77,150.69073486328125
78,160.50376749038696
79,218.07930874824524
80,286.0002501010895
81,360.645779132843
82,197.06208682060242
83,175.1320505142212
84,261.5338182449341
85,1226.386365890503
86,285.63194465637207
87,668.7056849002838
88,445.1548373699188
89,172.65411520004272
90,336.0908467769623
91,143.64946508407593
92,55.27639055252075
93,60.124608755111694
94,85.32682943344116
95,79.26425790786743
96,43.25792360305786
97,61.558438539505005
98,93.40809893608093
99,119.66639590263367
100,126.42704796791077
