gen,time
0,296.8528263568878
1,229.309063911438
2,119.54099559783936
3,128.63779282569885
4,138.22593069076538
5,83.26973605155945
6,68.8375654220581
7,73.68093419075012
8,81.58534002304077
9,80.53835844993591
10,50.587475299835205
11,86.48379182815552
12,130.58866024017334
13,84.67852520942688
14,28.96309471130371
15,37.68148851394653
16,69.37223029136658
17,220.2632350921631
18,46.58726096153259
19,16.415333032608032
20,47.768230676651
21,64.39449262619019
22,98.03736233711243
23,221.24248671531677
24,195.15238571166992
25,167.49786972999573
26,218.23027396202087
27,181.41093158721924
28,381.11174750328064
29,145.95129489898682
30,372.8320200443268
31,452.99986028671265
32,143.9363214969635
33,397.4908208847046
34,197.61332607269287
35,355.3989691734314
36,326.9874768257141
37,382.2200303077698
38,377.716673374176
39,377.2741074562073
40,173.75093054771423
41,122.66944122314453
42,369.34813928604126
43,297.8056902885437
44,270.95695447921753
45,265.2390468120575
46,258.35250639915466
47,212.8120472431183
48,193.2840757369995
49,386.0497336387634
50,471.70110726356506
51,505.3186545372009
52,373.44772362709045
53,420.0149567127228
54,422.0403048992157
55,489.45150566101074
56,459.23603558540344
57,196.48151063919067
58,175.38732767105103
59,473.99697828292847
60,631.3741087913513
61,471.1192378997803
62,444.323858499527
63,401.9577884674072
64,531.4708013534546
65,530.1617214679718
66,520.2478420734406
67,316.4131565093994
68,65.67879104614258
69,378.7981412410736
70,145.77119517326355
71,64.322425365448
72,136.39217686653137
73,104.64093708992004
74,177.29514622688293
75,141.72265672683716
76,132.2247838973999
77,53.67034840583801
78,106.98585391044617
79,168.49312210083008
80,85.03982329368591
81,123.86317443847656
82,95.63871884346008
83,170.94832849502563
84,304.82456970214844
85,208.87426781654358
86,254.7541434764862
87,459.252788066864
88,222.7236249446869
89,625.5181629657745
90,198.39581084251404
91,154.95851612091064
92,125.11914491653442
93,92.52529501914978
94,141.02852773666382
95,82.32505655288696
96,126.94675731658936
97,284.72742342948914
98,547.4785306453705
99,493.0481061935425
100,401.58908343315125
