,run,max,thresh,ops,score,gen
0,1,0.8229245283018868,0.814695283018868,3.0,0.8148401467505242,72
0,20,0.8078721174004192,0.799793396226415,2.0,0.801800751222921,5
0,12,0.8104419986023761,0.8023375786163524,3.0,0.8029581586303285,6
0,8,0.8058516771488471,0.7977931603773586,2.0,0.7985377358490566,8
0,29,0.816124213836478,0.8079629716981133,3.0,0.8145794025157234,3
0,35,0.7947012578616353,0.7867542452830188,2.0,0.7872759433962264,3
0,45,0.8199384171907755,0.8117390330188677,3.0,0.8252865129280224,20
0,40,0.8110268169112509,0.8029165487421384,3.0,0.8085552061495458,19
0,30,0.8005861285814116,0.7925802672955975,2.0,0.7991745283018868,3
0,25,0.808033280922432,0.7999529481132076,3.0,0.8031158280922431,8
0,4,0.8050593990216631,0.7970088050314464,3.0,0.7977336652690428,4
0,17,0.8088797169811321,0.8007909198113208,4.0,0.802726677148847,6
0,39,0.8086993361285814,0.8006123427672955,3.0,0.8017029175401816,8
0,49,0.8100711914744935,0.8019704795597485,3.0,0.8068304507337526,6
0,14,0.8199384171907755,0.8117390330188677,3.0,0.8252865129280224,20
0,7,0.8129655835080364,0.804835927672956,4.0,0.8049785988819007,33
0,26,0.8167732354996508,0.8086055031446543,2.0,0.8092963836477989,12
0,43,0.8104419986023761,0.8023375786163524,3.0,0.8029581586303285,6
0,33,0.8060613207547169,0.7980007075471698,3.0,0.798433787561146,5
0,18,0.8100711914744935,0.8019704795597485,3.0,0.8068304507337526,6
0,36,0.812311320754717,0.8041882075471698,3.0,0.8089552760307477,9
0,46,0.7997702655485674,0.7917725628930817,4.0,0.7924440950384347,6
0,11,0.8083184835779175,0.8002352987421383,3.0,0.8047244060097833,5
0,23,0.8154944095038434,0.807339465408805,3.0,0.8113679245283019,6
0,2,0.8047820580013976,0.7967342374213836,2.0,0.8004930992313068,5
0,16,0.8099375436757512,0.8018381682389937,3.0,0.8107774283717679,6
0,48,0.8088797169811321,0.8007909198113208,4.0,0.802726677148847,6
0,38,0.8138915094339623,0.8057525943396227,2.0,0.8058516771488471,3
0,24,0.8161080538085255,0.8079469732704402,3.0,0.8080398322851152,13
0,5,0.8120453354297694,0.8039248820754717,3.0,0.8058516771488471,3
0,31,0.81514107267645,0.8069896619496855,3.0,0.8170392208245982,4
0,41,0.8069461914744934,0.7988767295597485,2.0,0.8003895877009084,7
0,44,0.8019815688329839,0.793961753144654,2.0,0.7973222396925228,4
0,34,0.8087980433263452,0.8007100628930818,3.0,0.8022475541579315,6
0,9,0.8129830538085254,0.8048532232704402,3.0,0.8056324248777079,7
0,28,0.8090360761705101,0.800945715408805,3.0,0.8030808874912649,23
0,13,0.8019815688329839,0.793961753144654,2.0,0.7973222396925228,4
0,0,0.8110268169112509,0.8029165487421384,3.0,0.8085552061495458,19
0,21,0.801639150943396,0.793622759433962,2.0,0.801800751222921,4
0,22,0.8193544723969254,0.8111609276729561,4.0,0.811859713487072,24
0,3,0.8019060097833682,0.7938869496855345,2.0,0.7985779175401817,5
0,10,0.8069461914744934,0.7988767295597485,2.0,0.8003895877009084,7
0,19,0.7947178546470999,0.7867706761006289,2.0,0.7962923654786863,4
0,47,0.8099375436757512,0.8018381682389937,3.0,0.8107774283717679,6
0,37,0.8158416317260657,0.807683215408805,3.0,0.8118544723969252,12
0,32,0.8139434835779176,0.8058040487421384,3.0,0.807288172606569,11
0,42,0.8083184835779175,0.8002352987421383,3.0,0.8047244060097833,5
0,6,0.8131568832983926,0.8050253144654087,3.0,0.8053376135569531,8
0,27,0.8101528651292803,0.8020513364779875,3.0,0.8048624213836477,24
0,15,0.7997702655485674,0.7917725628930817,4.0,0.7924440950384347,6
