,run,max,thresh,ops,score,gen
0,31,0.9912468730456536,0.981334404315197,3.0,0.9849953095684804,6
0,39,0.9888398999374608,0.9789515009380861,3.0,0.9850257973733584,3
0,17,0.9849296435272044,0.9750803470919323,4.0,0.9837101313320826,4
0,8,0.9850562851782364,0.9752057223264541,3.0,0.985149312070044,10
0,24,0.9911507191994996,0.9812392120075046,2.0,0.9874616948092558,8
0,0,0.98875,0.9788625,4.0,0.9862499999999998,14
0,7,0.9924679487179487,0.9825432692307693,2.0,0.9836843339587242,3
0,23,0.9887742338961852,0.9788864915572234,4.0,0.98114602876798,4
0,10,0.9924953095684804,0.9825703564727956,2.0,0.9899312070043778,9
0,18,0.9888367729831146,0.9789484052532834,3.0,0.9873959053355718,1
0,36,0.9938094121325828,0.9838713180112569,2.0,0.9925273608505314,9
0,33,0.9874343339587244,0.9775599906191371,2.0,0.984903846153846,8
0,15,0.987493746091307,0.977618808630394,2.0,0.9812406191369608,2
0,2,0.9850273608505316,0.9751770872420262,2.0,0.9813078486554097,6
0,26,0.9925289243277048,0.9826036350844277,2.0,0.9837132582864292,0
0,21,0.9875,0.9776250000000001,2.0,0.97875,8
0,5,0.98875,0.9788625,2.0,0.98625,2
0,29,0.9900578486554096,0.9801572701688555,3.0,0.9838352095059412,5
0,12,0.9899648217636025,0.9800651735459665,2.0,0.9813015947467169,5
0,34,0.98875,0.9788625,3.0,0.985,7
0,35,0.9900562851782364,0.980155722326454,3.0,0.9861475922451532,5
0,13,0.9874953095684804,0.9776203564727957,2.0,0.9836171044402752,1
0,28,0.9875242338961852,0.9776489915572233,3.0,0.984992182614134,7
0,20,0.9862132582864293,0.976351125703565,2.0,0.9862132582864293,1
0,4,0.9899968730456534,0.9800969043151969,2.0,0.9874968730456536,10
0,3,0.9925594121325828,0.9826338180112569,2.0,0.9863094121325828,4
0,27,0.98625,0.9763875,2.0,0.978780487804878,3
0,14,0.9899984365228268,0.9800984521575985,3.0,0.9862789243277048,5
0,32,0.98505315822389,0.975202626641651,2.0,0.9762038774233897,6
0,19,0.9887697668185474,0.9788820691503619,2.0,0.9797276963515732,8
0,37,0.990059412132583,0.9801588180112571,3.0,0.9849327704815508,6
0,11,0.9888414634146344,0.978953048780488,2.0,0.9837789243277048,9
0,6,0.9924679487179487,0.9825432692307693,2.0,0.9874679487179486,7
0,22,0.9887468730456536,0.978859404315197,3.0,0.9875273608505316,5
0,25,0.9875273608505316,0.9776520872420262,2.0,0.9787757973733584,4
0,1,0.991182770481551,0.9812709427767355,2.0,0.984931207004378,3
0,9,0.9925289243277048,0.9826036350844277,2.0,0.9900289243277048,1
0,38,0.9937468730456536,0.983809404315197,4.0,0.9888383364602876,6
0,16,0.9913094121325832,0.9813963180112574,2.0,0.9913094121325832,2
0,30,0.9875594121325828,0.9776838180112569,2.0,0.9787757973733584,4
