,run,max,thresh,ops,score,gen
0,11,0.9849984365228268,0.9751484521575985,3.0,0.9837163852407752,14
0,9,0.984931207004378,0.9750818949343342,2.0,0.9875257973733584,5
0,37,0.9888658089877602,0.9789771508978826,2.0,0.979761434543206,3
0,19,0.8850321159371223,0.876181794777751,3.0,0.9417379047995224,5
0,1,0.988780487804878,0.9788926829268293,3.0,0.988780487804878,4
0,22,0.9837163852407756,0.9738792213883679,2.0,0.980060975609756,2
0,25,0.9762179487179488,0.9664557692307693,4.0,0.98390243902439,2
0,6,0.9872420262664166,0.9773696060037523,2.0,0.9884615384615384,5
0,30,0.9899679487179488,0.9800682692307693,2.0,0.9837179487179488,2
0,16,0.982522670419012,0.9726974437148218,3.0,0.984993746091307,8
0,38,0.987492182614134,0.9776172607879926,5.0,0.9823639774859289,5
0,13,0.9873671044402752,0.9774934333958725,3.0,0.9835834896810508,2
0,35,0.9873671044402752,0.9774934333958725,3.0,0.9863017064236576,5
0,3,0.985,0.97515,2.0,0.9825304878048782,2
0,20,0.989871794871795,0.979973076923077,3.0,0.9849007191994998,5
0,28,0.9888062851782364,0.9789182223264541,2.0,0.9863672607879924,4
0,27,0.981019387116948,0.9712091932457786,3.0,0.9799249530956848,6
0,4,0.9849679487179486,0.975118269230769,3.0,0.9824663852407756,9
0,32,0.94385631644778,0.9344177532833022,2.0,0.9437937773608504,2
0,14,0.9624280800500312,0.9528037992495308,2.0,0.9586780800500312,4
0,15,0.9912484365228268,0.9813359521575985,3.0,0.9887468730456536,2
0,5,0.9748686679174484,0.9651199812382739,3.0,0.9798975922451532,4
0,33,0.992620387742339,0.9826941838649156,2.0,0.9901188242651658,3
0,26,0.9838094121325828,0.9739713180112569,3.0,0.9900914634146344,4
0,29,0.9701461851156974,0.9604447232645404,3.0,0.9873717948717948,6
0,21,0.9874679487179486,0.9775932692307692,3.0,0.9875000000000002,4
0,34,0.9800562851782364,0.9702557223264541,3.0,0.9824343339587244,9
0,2,0.9849663852407756,0.9751167213883678,2.0,0.9762132582864292,5
0,12,0.9887484365228268,0.9788609521575986,3.0,0.9812148217636024,5
0,17,0.9848671044402753,0.9750184333958725,3.0,0.981085053158224,4
0,39,0.9825609756097562,0.9727353658536586,2.0,0.9750578486554096,4
0,7,0.982513389477446,0.9726882555826716,2.0,0.9776355758063076,2
0,31,0.9799984365228268,0.9701984521575985,3.0,0.9750304878048782,5
0,24,0.98625,0.9763875,3.0,0.98375,3
0,23,0.9863398999374609,0.9764765009380862,3.0,0.9824953095684804,4
0,36,0.9874648217636024,0.9775901735459663,2.0,0.9837148217636024,3
0,0,0.9876219512195122,0.9777457317073172,3.0,0.9824953095684804,4
0,18,0.9874984365228268,0.9776234521575985,3.0,0.9850289243277048,10
0,8,0.9812163852407754,0.9714042213883676,2.0,0.981054565353346,3
0,10,0.9799874921826142,0.9701876172607881,3.0,0.9786429018136336,2
