level_0,index,pipeline,cv_score,generation,holdout_score,holdout_roc_auc_score,type,upper_ci_holdout,lower_ci_holdout,operator_count
3,104,"MultinomialNB(PolynomialFeatures(SelectFwe(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=4, DecisionTreeClassifier__min_samples_leaf=10, DecisionTreeClassifier__min_samples_split=3), SelectFwe__alpha=0.04), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), MultinomialNB__alpha=0.01, MultinomialNB__fit_prior=False)",0.8126061320754717,30,0.7025862068965517,0.7617873651771958,NSGA-II,0.7614085664670778,0.6437638473260257,4
3,88,"MultinomialNB(LogisticRegression(SelectFwe(SGDClassifier(input_matrix, SGDClassifier__alpha=0.0, SGDClassifier__eta0=1.0, SGDClassifier__fit_intercept=False, SGDClassifier__l1_ratio=0.5, SGDClassifier__learning_rate=constant, SGDClassifier__loss=hinge, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=0.0), SelectFwe__alpha=0.037), LogisticRegression__C=25.0, LogisticRegression__dual=False, LogisticRegression__penalty=l2), MultinomialNB__alpha=0.1, MultinomialNB__fit_prior=False)",0.8087237945492664,28,0.728448275862069,0.8016435541859271,NSGA-II,0.7856801174936601,0.6712164342304778,4
2,62,"BernoulliNB(SGDClassifier(CombineDFs(input_matrix, SelectFromModel(input_matrix, SelectFromModel__ExtraTreesClassifier__criterion=entropy, SelectFromModel__ExtraTreesClassifier__max_features=0.7500000000000001, SelectFromModel__ExtraTreesClassifier__n_estimators=100, SelectFromModel__threshold=0.35000000000000003)), SGDClassifier__alpha=0.0, SGDClassifier__eta0=0.01, SGDClassifier__fit_intercept=True, SGDClassifier__l1_ratio=0.0, SGDClassifier__learning_rate=invscaling, SGDClassifier__loss=hinge, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=0.0), BernoulliNB__alpha=0.01, BernoulliNB__fit_prior=False)",0.8017203878406709,25,0.7241379310344828,0.7876219825372368,NSGA-II,0.781651288588195,0.6666245734807705,3
3,196,"MultinomialNB(SelectFwe(ZeroCount(MLPClassifier(input_matrix, MLPClassifier__alpha=0.01, MLPClassifier__learning_rate_init=0.1)), SelectFwe__alpha=0.014), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8171955800139763,53,0.7198275862068966,0.8040061633281973,NSGA-II,0.777615765015621,0.6620394073981721,4
2,42,"MultinomialNB(SGDClassifier(BernoulliNB(input_matrix, BernoulliNB__alpha=10.0, BernoulliNB__fit_prior=False), SGDClassifier__alpha=0.01, SGDClassifier__eta0=0.01, SGDClassifier__fit_intercept=True, SGDClassifier__l1_ratio=0.5, SGDClassifier__learning_rate=invscaling, SGDClassifier__loss=modified_huber, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=50.0), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.8002506988120196,16,0.728448275862069,0.8058551617873652,NSGA-II,0.7856801174936601,0.6712164342304778,3
3,113,"BernoulliNB(VarianceThreshold(Binarizer(MLPClassifier(input_matrix, MLPClassifier__alpha=0.01, MLPClassifier__learning_rate_init=0.001), Binarizer__threshold=0.8500000000000001), VarianceThreshold__threshold=0.01), BernoulliNB__alpha=1.0, BernoulliNB__fit_prior=False)",0.8182892208245981,29,0.7758620689655172,0.8328710837185413,NSGA-II,0.8295234713591507,0.7222006665718838,4
2,36,"MultinomialNB(PolynomialFeatures(RFE(input_matrix, RFE__ExtraTreesClassifier__criterion=entropy, RFE__ExtraTreesClassifier__max_features=0.6000000000000001, RFE__ExtraTreesClassifier__n_estimators=100, RFE__step=0.6500000000000001), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=True)",0.797814465408805,15,0.7198275862068966,0.7685670261941449,NSGA-II,0.777615765015621,0.6620394073981721,3
3,153,"MultinomialNB(SelectFwe(ExtraTreesClassifier(SGDClassifier(input_matrix, SGDClassifier__alpha=0.0, SGDClassifier__eta0=0.01, SGDClassifier__fit_intercept=False, SGDClassifier__l1_ratio=0.75, SGDClassifier__learning_rate=constant, SGDClassifier__loss=perceptron, SGDClassifier__penalty=elasticnet, SGDClassifier__power_t=1.0), ExtraTreesClassifier__bootstrap=False, ExtraTreesClassifier__criterion=gini, ExtraTreesClassifier__max_features=0.5, ExtraTreesClassifier__min_samples_leaf=16, ExtraTreesClassifier__min_samples_split=7, ExtraTreesClassifier__n_estimators=100), SelectFwe__alpha=0.049), MultinomialNB__alpha=0.001, MultinomialNB__fit_prior=False)",0.8236827393431166,41,0.7112068965517241,0.7861325115562404,NSGA-II,0.7695250101442952,0.652888782959153,4
3,119,"MultinomialNB(PolynomialFeatures(OneHotEncoder(DecisionTreeClassifier(input_matrix, DecisionTreeClassifier__criterion=gini, DecisionTreeClassifier__max_depth=4, DecisionTreeClassifier__min_samples_leaf=13, DecisionTreeClassifier__min_samples_split=14), OneHotEncoder__minimum_fraction=0.25, OneHotEncoder__sparse=False, OneHotEncoder__threshold=10), PolynomialFeatures__degree=2, PolynomialFeatures__include_bias=False, PolynomialFeatures__interaction_only=False), MultinomialNB__alpha=1.0, MultinomialNB__fit_prior=False)",0.811697676450035,41,0.7198275862068966,0.7078068823831536,NSGA-II,0.777615765015621,0.6620394073981721,4
3,116,"GaussianNB(SelectFwe(SelectFwe(GradientBoostingClassifier(MLPClassifier(input_matrix, MLPClassifier__alpha=0.01, MLPClassifier__learning_rate_init=0.01), GradientBoostingClassifier__learning_rate=0.001, GradientBoostingClassifier__max_depth=5, GradientBoostingClassifier__max_features=0.2, GradientBoostingClassifier__min_samples_leaf=3, GradientBoostingClassifier__min_samples_split=8, GradientBoostingClassifier__n_estimators=100, GradientBoostingClassifier__subsample=0.6000000000000001), SelectFwe__alpha=0.003), SelectFwe__alpha=0.025))",0.8120737246680643,31,0.771551724137931,0.8222907036466358,NSGA-II,0.8255759489943363,0.7175274992815258,5
