,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,35,47,63,95,105,119,138,150,164,170,171,183,184,186,192,195,195,195,202,206
global_efficiency,0.7058823529411765,0.6413043478260869,0.5833333333333334,0.5212765957446813,0.5088141025641032,0.4908192090395486,0.472627737226278,0.4681208053691279,0.45961145194274033,0.4571005917159762,0.4563725490196077,0.4500915750915747,0.4503642987249541,0.45360360360360324,0.44982547993019145,0.4497422680412366,0.4497422680412366,0.4497422680412366,0.44651741293532277,0.4451219512195115
exploratory_metric,24.0,29.499999999999996,36.16666666666667,49.00000000000005,52.91666666666673,57.916666666666735,64.75000000000009,69.75000000000006,74.91666666666667,77.24999999999999,77.58333333333331,81.9166666666666,82.4166666666666,83.9166666666666,85.91666666666657,87.2499999999999,87.2499999999999,87.2499999999999,89.74999999999987,91.24999999999986
leafnode_counter,25,32,43,65,70,77,93,105,117,121,121,130,131,132,136,139,139,139,146,150
unique_nodes_by_depth,[ 1 13 22  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 31  3  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 39 11  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 52 30  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 56 35  1  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 61 38  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 64 54  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 70 60  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 73 71  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 75 75  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 75 76  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 77 86  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 78 86  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 79 86  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 79 92  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 81 93  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 81 93  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 81 93  7  0  0  0  0  0  0  0  0  0  0  0],[ 1 14 82 99  7  0  0  0  0  0  0  0  0  0  0  0],[  1  14  83 102   7   0   0   0   0   0   0   0   0   0   0   0]
