,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
unique_nodes,31,48,59,74,89,96,112,127,144,160,180,181,188,191,193,200,203,208,210,212
global_efficiency,0.7166666666666667,0.6276595744680851,0.6120689655172413,0.5707762557077628,0.5340909090909096,0.5201754385964918,0.49474474474474556,0.47817460317460414,0.4586247086247095,0.4483228511530404,0.43081936685288663,0.4312037037037039,0.42843137254901964,0.4286842105263158,0.42942708333333335,0.4285594639865996,0.42797029702970285,0.4264895330112719,0.42559808612440164,0.42472353870458107
exploratory_metric,21.5,29.499999999999996,35.5,41.666666666666686,47.00000000000005,49.41666666666672,54.91666666666676,60.25000000000012,65.58333333333346,71.28333333333342,77.1166666666667,77.6166666666667,80.11666666666667,81.45,82.45,85.28333333333332,86.44999999999997,88.28333333333329,88.94999999999995,89.6166666666666
leafnode_counter,21,34,45,53,65,68,77,89,100,111,122,123,130,132,134,139,140,145,147,148
unique_nodes_by_depth,[ 1 12 19  0  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 12 33  3  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 43  3  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 50 11  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 52 24  0  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 54 26  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 55 41  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 57 54  3  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 59 61 11  0  0  0  0  0  0  0  0  0  0  0],[ 1 13 63 70 13  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 63 80 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 64 80 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 65 86 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 67 87 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 69 87 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 72 91 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 73 93 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 74 97 23  1  0  0  0  0  0  0  0  0  0  0],[ 1 13 74 99 23  1  0  0  0  0  0  0  0  0  0  0],[  1  13  74 101  23   1   0   0   0   0   0   0   0   0   0   0]
